assay_param_id,assay_id,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments
3712551,4037,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712552,4038,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712553,4038,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712554,4039,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712555,4039,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712556,4040,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712557,4040,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712558,138,DOSE,=,0.002,mg/kg,,DOSE,=,0.002,mg.kg-1,,
3712559,4041,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712560,4041,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712561,4042,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712562,4042,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712563,4046,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712564,4046,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712565,4358,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712566,4359,DOSE,=,12.5,mg/kg,,DOSE,=,12.5,mg.kg-1,,
3712567,4360,DOSE,=,200.0,mg/kg,,DOSE,=,200.0,mg.kg-1,,
3712568,4361,DOSE,=,25.0,mg/kg,,DOSE,=,25.0,mg.kg-1,,
3712569,4362,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712570,4363,DOSE,=,6.0,mg/kg,,DOSE,=,6.0,mg.kg-1,,
3712571,4364,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712572,4365,DOSE,=,150.0,mg/kg,,DOSE,=,150.0,mg.kg-1,,
3712573,4366,DOSE,=,1600.0,mg/kg,,DOSE,=,1600.0,mg.kg-1,,
3712574,4366,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712575,4367,DOSE,=,200.0,mg/kg,,DOSE,=,200.0,mg.kg-1,,
3712576,4368,DOSE,=,225.0,mg/kg,,DOSE,=,225.0,mg.kg-1,,
3712577,4369,DOSE,=,270.0,mg/kg,,DOSE,=,270.0,mg.kg-1,,
3712578,4370,DOSE,=,275.0,mg/kg,,DOSE,=,275.0,mg.kg-1,,
3712579,4371,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,
3712580,4372,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,
3712581,4372,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712582,4373,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,
3712583,4373,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712584,4374,DOSE,=,600.0,mg/kg,,DOSE,=,600.0,mg.kg-1,,
3712585,4375,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712586,4376,DOSE,=,12.5,mg/kg,,DOSE,=,12.5,mg.kg-1,,
3712587,4377,DOSE,=,25.0,mg/kg,,DOSE,=,25.0,mg.kg-1,,
3712588,4378,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712589,4379,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712590,4379,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712591,4380,DOSE,=,200.0,mg/kg,,DOSE,=,200.0,mg.kg-1,,
3712592,4380,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712593,4381,DOSE,=,200.0,mg/kg,,DOSE,=,200.0,mg.kg-1,,
3712594,4381,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712595,4382,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712596,4382,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712597,4383,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712598,4383,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712599,4384,DOSE,=,200.0,mg/kg,,DOSE,=,200.0,mg.kg-1,,
3712600,4384,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712601,4385,DOSE,=,200.0,mg/kg,,DOSE,=,200.0,mg.kg-1,,
3712602,4385,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712603,4386,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712604,4386,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712605,4387,DOSE,=,35.0,mg/kg,,DOSE,=,35.0,mg.kg-1,,
3712606,4387,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712607,4388,DOSE,=,400.0,mg/kg,,DOSE,=,400.0,mg.kg-1,,
3712608,4388,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712609,4389,DOSE,=,400.0,mg/kg,,DOSE,=,400.0,mg.kg-1,,
3712610,4392,DOSE,=,150.0,mg/kg,,DOSE,=,150.0,mg.kg-1,,
3712611,4393,DOSE,=,200.0,mg/kg,,DOSE,=,200.0,mg.kg-1,,
3712612,4394,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,
3712613,4394,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712614,4412,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712615,4412,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712616,4418,DOSE,=,3.0,mg/kg,,DOSE,=,3.0,mg.kg-1,,
3712617,4418,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712618,4419,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712619,4419,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712620,4420,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712621,4420,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712622,4421,DOSE,=,2.0,mg/kg,,DOSE,=,2.0,mg.kg-1,,
3712623,4421,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712624,4422,DOSE,=,2.0,mg/kg,,DOSE,=,2.0,mg.kg-1,,
3712625,4422,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712626,4423,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712627,4423,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712628,4428,DOSE,=,2.0,mgkg,,DOSE,=,2.0,mg.kg-1,,
3712629,4428,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712630,4429,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712631,4430,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712632,4432,DOSE,=,15.0,mg/kg,,DOSE,=,15.0,mg.kg-1,,
3712633,4432,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712634,4433,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712635,4440,DOSE,=,30.0,mg/kg,,DOSE,=,30.0,mg.kg-1,,
3712636,4440,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712637,4441,DOSE,=,30.0,mg/kg,,DOSE,=,30.0,mg.kg-1,,
3712638,4441,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712639,4464,DOSE,=,0.5,mg/kg,,DOSE,=,0.5,mg.kg-1,,
3712640,4464,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712641,4465,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712642,4465,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712643,4469,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712644,4469,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712645,4470,DOSE,=,2.0,mg/kg,,DOSE,=,2.0,mg.kg-1,,
3712646,4470,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712647,4481,DOSE,=,0.032,mg/kg,,DOSE,=,0.032,mg.kg-1,,
3712648,4481,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712649,4483,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712650,4483,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712651,4484,DOSE,=,30.0,mg/kg,,DOSE,=,30.0,mg.kg-1,,
3712652,4484,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712653,4485,DOSE,=,30.0,mg/kg,,DOSE,=,30.0,mg.kg-1,,
3712654,4485,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712655,4488,DOSE,=,3.0,mg/kg,,DOSE,=,3.0,mg.kg-1,,
3712656,4488,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712657,4489,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712658,4489,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712659,4490,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712660,4490,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712661,4495,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712662,4495,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712663,4496,DOSE,=,3.0,mg/kg,,DOSE,=,3.0,mg.kg-1,,
3712664,4496,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712665,4497,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712666,4497,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712667,4517,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712668,4517,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712669,4558,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712670,4558,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712671,4559,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712672,4559,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712673,4560,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712674,4560,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712675,4561,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712676,4561,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712677,4582,DOSE,=,7.5,mg/kg,,DOSE,=,7.5,mg.kg-1,,
3712678,4582,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712679,4589,DOSE,=,7.5,mg/kg,,DOSE,=,7.5,mg.kg-1,,
3712680,4589,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712681,4590,DOSE,=,7.5,mg/kg,,DOSE,=,7.5,mg.kg-1,,
3712682,4590,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712683,4633,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712684,4633,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712685,4634,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712686,4634,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712687,4635,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712688,4636,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712689,4646,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712690,4646,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712691,4647,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712692,4647,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712693,4649,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712694,4649,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712695,4650,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712696,4650,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712697,4655,DOSE,=,15.0,mg/kg,,DOSE,=,15.0,mg.kg-1,,
3712698,4655,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712699,4656,DOSE,=,2.0,mg/kg,,DOSE,=,2.0,mg.kg-1,,
3712700,4656,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712701,4658,DOSE,=,15.0,mg/kg,,DOSE,=,15.0,mg.kg-1,,
3712702,4658,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712703,4660,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712704,4660,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712705,4661,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712706,4661,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712707,4662,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712708,4662,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712709,4663,DOSE,=,3.0,mg/kg,,DOSE,=,3.0,mg.kg-1,,
3712710,4663,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712711,4666,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712712,4666,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712713,4667,DOSE,=,3.0,mg/kg,,DOSE,=,3.0,mg.kg-1,,
3712714,4667,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712715,4677,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712716,4677,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712717,4710,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712718,4711,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712719,4711,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712720,4712,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712721,4747,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712722,4747,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712723,4750,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712724,4750,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712725,4752,DOSE,=,20.0,mg/kg,,DOSE,=,20.0,mg.kg-1,,
3712726,4753,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712727,4753,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712728,4754,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712729,4754,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712730,4755,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712731,4755,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712732,4757,DOSE,=,40.0,mg/kg,,DOSE,=,40.0,mg.kg-1,,
3712733,4757,ROUTE,,,,Subcutaneous,ROUTE,,,,Subcutaneous,
3712734,4759,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712735,4762,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712736,4762,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712737,4763,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712738,4763,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712739,4764,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712740,4764,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712741,4765,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712742,4765,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712743,4766,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712744,4766,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712745,4767,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712746,4767,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712747,4769,DOSE,=,20.0,mg/kg,,DOSE,=,20.0,mg.kg-1,,
3712748,4770,DOSE,=,20.0,mg/kg,,DOSE,=,20.0,mg.kg-1,,
3712749,4771,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712750,4817,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712751,4817,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712752,4829,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712753,4829,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712754,4830,DOSE,=,2.0,mg/kg,,DOSE,=,2.0,mg.kg-1,,
3712755,4830,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712756,4832,DOSE,=,1.0,mgkg,,DOSE,=,1.0,mg.kg-1,,
3712757,4832,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712758,4833,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712759,4833,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712760,4835,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712761,4835,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712762,4836,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712763,4836,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712764,4843,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712765,4844,DOSE,=,3.0,mg/kg,,DOSE,=,3.0,mg.kg-1,,
3712766,4844,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712767,4845,DOSE,=,3.0,mg/kg,,DOSE,=,3.0,mg.kg-1,,
3712768,4845,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712769,4846,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712770,4846,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712771,4848,DOSE,=,1.0,mgkg,,DOSE,=,1.0,mg.kg-1,,
3712772,4848,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712773,4854,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712774,4854,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712775,4862,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712776,4862,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712777,4863,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712778,4863,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712779,4867,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712780,4867,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712781,4923,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712782,4924,DOSE,=,40.0,mg/kg,,DOSE,=,40.0,mg.kg-1,,
3712783,4924,ROUTE,,,,Subcutaneous,ROUTE,,,,Subcutaneous,
3712784,4925,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712785,4925,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712786,4929,DOSE,=,30.0,mg/kg,,DOSE,=,30.0,mg.kg-1,,
3712787,4929,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712788,4931,DOSE,=,40.0,mg/kg,,DOSE,=,40.0,mg.kg-1,,
3712789,4931,ROUTE,,,,Subcutaneous,ROUTE,,,,Subcutaneous,
3712790,4932,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712791,4932,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712792,4933,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712793,4933,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712794,4934,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712795,4934,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712796,4935,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712797,4935,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712798,4940,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712799,4940,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712800,4941,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712801,4941,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712802,4942,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712803,4942,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712804,4944,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712805,4944,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712806,4945,DOSE,=,200.0,mg/kg,,DOSE,=,200.0,mg.kg-1,,
3712807,4945,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712808,4946,DOSE,=,20.0,mg/kg,,DOSE,=,20.0,mg.kg-1,,
3712809,4947,DOSE,=,20.0,mg/kg,,DOSE,=,20.0,mg.kg-1,,
3712810,4949,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712811,4949,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712812,4950,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712813,4950,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712814,4951,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712815,4951,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712816,4952,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712817,4953,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712818,4954,DOSE,=,50.0,mg/kg,,DOSE,=,50.0,mg.kg-1,,
3712819,4963,DOSE,=,100.0,mg/kg,,DOSE,=,100.0,mg.kg-1,,
3712820,4963,ROUTE,,,,Intraperitoneal,ROUTE,,,,Intraperitoneal,
3712821,4966,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712822,4966,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712823,4970,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712824,4970,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712825,4971,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712826,4971,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712827,5025,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712828,5025,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712829,5026,DOSE,=,2.0,mg/kg,,DOSE,=,2.0,mg.kg-1,,
3712830,5026,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712831,5028,DOSE,=,2.0,mgkg,,DOSE,=,2.0,mg.kg-1,,
3712832,5028,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712833,5049,DOSE,=,4.0,mg/kg,,DOSE,=,4.0,mg.kg-1,,
3712834,5049,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712835,5050,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712836,5050,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712837,5051,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712838,5051,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712839,5052,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712840,5052,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712841,5054,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712842,5054,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712843,5055,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712844,5055,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712845,5056,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712846,5056,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712847,5096,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712848,5096,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712849,5102,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712850,5102,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712851,5182,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712852,5182,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712853,5183,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712854,5183,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712855,5184,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712856,5184,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712857,5185,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712858,5185,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712859,5229,DOSE,=,5.0,mg/kg,,DOSE,=,5.0,mg.kg-1,,
3712860,5229,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712861,5232,DOSE,=,15.0,mg/kg,,DOSE,=,15.0,mg.kg-1,,
3712862,5232,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712863,5233,DOSE,=,30.0,mg/kg,,DOSE,=,30.0,mg.kg-1,,
3712864,5233,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712865,5235,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712866,5235,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712867,5236,DOSE,=,1.0,mg/kg,,DOSE,=,1.0,mg.kg-1,,
3712868,5236,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712869,5240,DOSE,=,3.0,mg/kg,,DOSE,=,3.0,mg.kg-1,,
3712870,5240,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712871,5241,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712872,5241,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712873,5243,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712874,5243,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712875,5244,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712876,5244,ROUTE,,,,Intravenous,ROUTE,,,,Intravenous,
3712877,5245,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,
3712878,5245,ROUTE,,,,Oral,ROUTE,,,,Oral,
3712879,5246,DOSE,=,10.0,mg/kg,,DOSE,=,10.0,mg.kg-1,,
3712880,5246,ROUTE,,,,Oral,ROUTE,,,,Oral,
