molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score
2819,331.18,3.75,4.0,1.0,63.6,5.0,N,0.0,3.22,,3.87,0.43,ACID,331.18,2.0,20.0,0.85,329.952,C13H8Cl2O4S,4.0,1.0,0.0,-1.22
2822,435.34,5.53,4.0,2.0,93.06,12.0,N,1.0,3.39,,5.96,-0.66,ACID,435.34,1.0,28.0,0.42,434.1263,C20H28Cl2O6,6.0,2.0,1.0,-0.23
2823,472.58,5.31,5.0,3.0,113.29,14.0,N,1.0,3.66,,5.77,-0.59,ACID,472.58,2.0,34.0,0.32,472.2461,C27H36O7,7.0,3.0,1.0,-0.08
2825,254.28,3.3,3.0,1.0,46.53,4.0,N,0.0,7.87,,3.43,3.3,NEUTRAL,254.28,2.0,19.0,0.67,254.0943,C16H14O3,3.0,1.0,0.0,0.21
2826,238.29,3.6,2.0,1.0,37.3,3.0,N,0.0,7.87,,4.1,3.98,NEUTRAL,238.29,2.0,18.0,0.65,238.0994,C16H14O2,2.0,1.0,0.0,0.09
2827,331.71,3.24,5.0,2.0,92.79,2.0,N,0.0,3.87,,3.26,0.03,ACID,331.71,3.0,23.0,0.75,331.0248,C16H10ClNO5,6.0,2.0,0.0,0.1
2828,477.55,2.81,6.0,4.0,160.72,6.0,N,0.0,10.04,11.15,2.15,0.3,BASE,477.55,3.0,34.0,0.32,477.1471,C24H23N5O4S,9.0,6.0,1.0,-0.85
2829,789.08,9.17,6.0,0.0,42.56,12.0,N,2.0,,7.73,0.26,-0.37,NEUTRAL,979.28,8.0,59.0,0.12,788.4767,C53H66N6O8S2,8.0,0.0,2.0,-0.08
2832,498.62,5.63,7.0,0.0,88.13,14.0,N,1.0,,,6.5,6.5,NEUTRAL,498.62,2.0,36.0,0.19,498.2618,C29H38O7,7.0,0.0,1.0,-0.31
2834,324.86,3.99,2.0,0.0,6.48,1.0,N,0.0,,7.56,4.31,3.92,NEUTRAL,324.86,2.0,23.0,0.78,324.1393,C20H21ClN2,2.0,0.0,0.0,-0.34
2835,323.87,5.47,1.0,0.0,3.24,1.0,N,1.0,,7.87,5.6,5.0,NEUTRAL,323.87,2.0,23.0,0.67,323.1441,C21H22ClN,1.0,0.0,1.0,-0.25
2836,406.44,4.61,4.0,1.0,63.57,4.0,N,0.0,13.05,6.5,2.96,2.91,NEUTRAL,406.44,4.0,30.0,0.54,406.1605,C23H20F2N4O,5.0,1.0,0.0,-0.47
2837,406.44,4.61,4.0,1.0,63.57,4.0,N,0.0,12.06,6.48,2.95,2.91,NEUTRAL,406.44,4.0,30.0,0.54,406.1605,C23H20F2N4O,5.0,1.0,0.0,-0.83
2840,498.53,4.12,8.0,3.0,143.5,12.0,N,0.0,2.16,,4.86,1.34,ACID,520.51,3.0,36.0,0.31,498.189,C27H29NaO9,9.0,3.0,0.0,0.47
2841,270.33,3.42,3.0,1.0,41.57,4.0,N,0.0,,1.0,2.72,2.72,NEUTRAL,270.33,2.0,20.0,0.93,270.1368,C16H18N2O2,4.0,1.0,0.0,-1.3
2842,295.38,3.95,2.0,1.0,38.33,5.0,N,0.0,,,4.33,4.33,NEUTRAL,295.38,2.0,22.0,0.91,295.1572,C19H21NO2,3.0,1.0,0.0,-0.61
2844,242.25,3.43,2.0,1.0,37.3,3.0,N,0.0,7.87,,3.73,3.6,NEUTRAL,242.25,2.0,18.0,0.66,242.0743,C15H11FO2,2.0,1.0,0.0,-0.19
2845,314.7,4.11,4.0,0.0,59.05,1.0,N,0.0,,,3.77,3.77,NEUTRAL,314.7,3.0,22.0,0.68,314.0258,C16H8ClFN2O2,4.0,0.0,0.0,-0.75
2846,439.48,0.14,10.0,5.0,199.26,9.0,N,0.0,3.38,9.9,-2.49,-2.49,ZWITTERION,667.52,3.0,32.0,0.3,439.208,C24H27F6N9O7,12.0,8.0,2.0,-0.51
2850,412.5,4.54,6.0,0.0,71.06,12.0,N,0.0,,,5.19,5.19,NEUTRAL,412.5,1.0,29.0,0.37,412.2261,C22H33FO6,6.0,0.0,0.0,-0.52
2851,293.37,4.76,2.0,1.0,42.24,5.0,N,0.0,,,4.61,4.61,NEUTRAL,293.37,3.0,22.0,0.74,293.1416,C19H19NO2,3.0,1.0,0.0,-0.65
2852,432.47,5.59,4.0,1.0,55.12,4.0,N,1.0,9.45,5.17,4.9,4.89,NEUTRAL,432.47,4.0,32.0,0.46,432.1649,C26H22F2N2O2,4.0,1.0,1.0,-0.26
2853,446.5,5.89,4.0,0.0,44.12,5.0,N,1.0,,5.17,5.05,5.04,NEUTRAL,446.5,4.0,33.0,0.38,446.1806,C27H24F2N2O2,4.0,0.0,1.0,-0.52
2854,549.98,1.49,10.0,5.0,202.34,9.0,N,1.0,3.4,2.85,1.3,-1.93,ACID,549.98,4.0,39.0,0.2,549.164,C25H24ClN9O4,13.0,7.0,3.0,-0.85
2856,484.97,3.76,6.0,3.0,136.87,5.0,N,0.0,10.08,3.85,3.44,3.44,NEUTRAL,484.97,3.0,33.0,0.47,484.0972,C23H21ClN4O4S,8.0,5.0,0.0,-1.06
2858,534.78,8.69,4.0,2.0,93.06,23.0,N,2.0,3.73,,10.16,3.87,ACID,534.78,1.0,38.0,0.14,534.392,C32H54O6,6.0,2.0,2.0,0.05
2860,269.26,3.2,4.0,1.0,80.44,4.0,N,0.0,7.87,,3.53,3.4,NEUTRAL,269.26,2.0,20.0,0.4,269.0688,C15H11NO4,5.0,1.0,0.0,-0.29
2861,448.47,5.3,5.0,2.0,75.35,4.0,N,1.0,9.53,5.17,4.6,4.59,NEUTRAL,448.47,4.0,33.0,0.42,448.1598,C26H22F2N2O3,5.0,2.0,1.0,0.02
2862,448.47,5.3,5.0,2.0,75.35,4.0,N,1.0,9.14,5.17,4.6,4.59,NEUTRAL,448.47,4.0,33.0,0.44,448.1598,C26H22F2N2O3,5.0,2.0,1.0,-0.04
2863,429.13,6.11,2.0,2.0,57.78,4.0,N,1.0,10.99,1.9,5.68,5.68,NEUTRAL,429.13,3.0,26.0,0.53,426.9813,C18H13Cl4N3O,4.0,2.0,1.0,-0.92
2864,325.33,3.84,2.0,3.0,77.75,0.0,N,0.0,8.04,,2.93,2.84,NEUTRAL,325.33,5.0,25.0,0.38,325.0851,C20H11N3O2,5.0,3.0,0.0,0.26
2865,506.62,5.06,6.0,2.0,127.2,14.0,N,2.0,3.04,,5.71,-1.12,ACID,506.62,2.0,35.0,0.34,506.1974,C26H34O8S,8.0,2.0,2.0,-0.61
2866,315.76,4.04,5.0,1.0,56.27,4.0,N,0.0,,4.65,3.75,3.75,NEUTRAL,315.76,3.0,22.0,0.79,315.0775,C16H14ClN3O2,5.0,1.0,0.0,-1.18
2867,288.69,3.52,4.0,2.0,70.67,1.0,N,0.0,6.55,,3.98,3.03,NEUTRAL,288.69,3.0,20.0,0.72,288.0189,C15H9ClO4,4.0,2.0,0.0,0.78
2868,333.41,3.27,4.0,1.0,72.47,6.0,N,0.0,13.35,,3.15,3.15,NEUTRAL,333.41,2.0,23.0,0.88,333.1035,C17H19NO4S,5.0,1.0,0.0,-1.6
2871,424.53,4.41,7.0,0.0,80.29,13.0,N,0.0,,,4.89,4.89,NEUTRAL,424.53,1.0,30.0,0.34,424.2461,C23H36O7,7.0,0.0,0.0,0.02
2874,879.99,-1.0,12.0,9.0,330.03,25.0,N,3.0,2.32,,-0.85,-9.67,ACID,879.99,1.0,61.0,0.05,879.3684,C39H57N7O14S,21.0,10.0,3.0,-0.18
2875,490.62,5.39,5.0,2.0,116.12,14.0,N,1.0,3.26,,5.57,-1.14,ACID,490.62,2.0,34.0,0.27,490.2025,C26H34O7S,7.0,2.0,1.0,-0.02
2877,343.39,4.08,4.0,2.0,61.44,4.0,N,0.0,8.72,,3.8,3.78,NEUTRAL,343.39,3.0,26.0,0.7,343.1321,C21H17N3O2,5.0,2.0,0.0,-0.74
2878,408.54,4.71,6.0,0.0,71.06,12.0,N,0.0,,,5.56,5.56,NEUTRAL,408.54,1.0,29.0,0.37,408.2512,C23H36O6,6.0,0.0,0.0,-0.11
2879,647.06,2.62,9.0,4.0,195.93,9.0,N,1.0,5.47,3.58,2.09,1.18,ACID,647.06,3.0,42.0,0.25,646.0683,C24H22ClF3N6O6S2,12.0,6.0,3.0,-1.23
2880,607.11,2.46,9.0,4.0,195.93,10.0,N,1.0,8.72,3.81,2.01,1.99,NEUTRAL,607.11,3.0,40.0,0.25,606.1122,C25H27ClN6O6S2,12.0,6.0,3.0,-1.28
2881,579.06,1.68,9.0,4.0,195.93,8.0,N,1.0,8.76,3.74,0.98,0.96,NEUTRAL,579.06,3.0,38.0,0.29,578.0809,C23H23ClN6O6S2,12.0,6.0,3.0,-1.16
2882,396.44,3.78,6.0,0.0,63.22,3.0,N,0.0,13.99,,3.59,3.59,NEUTRAL,396.44,2.0,29.0,0.79,396.1573,C23H24O6,6.0,0.0,0.0,1.63
2883,394.42,4.69,6.0,0.0,67.13,3.0,N,0.0,13.02,,3.65,3.65,NEUTRAL,394.42,3.0,29.0,0.64,394.1416,C23H22O6,6.0,0.0,0.0,1.47
2884,630.87,9.86,6.0,0.0,71.06,14.0,N,2.0,,,11.45,11.45,NEUTRAL,630.87,3.0,46.0,0.1,630.392,C40H54O6,6.0,0.0,2.0,-0.23
2885,104.06,-0.45,2.0,2.0,74.6,2.0,N,0.0,2.43,,-0.33,-5.34,ACID,104.06,0.0,7.0,0.46,104.011,C3H4O4,4.0,2.0,0.0,0.84
2886,452.46,3.38,8.0,0.0,89.52,4.0,N,0.0,,,3.17,3.17,NEUTRAL,452.46,2.0,33.0,0.52,452.1471,C25H24O8,8.0,0.0,0.0,1.75
2887,481.5,4.4,9.0,0.0,94.04,5.0,N,0.0,,0.23,4.45,4.45,NEUTRAL,481.5,2.0,35.0,0.27,481.1737,C26H27NO8,9.0,0.0,0.0,1.22
2888,370.61,4.28,2.0,1.0,38.33,2.0,N,0.0,11.55,,4.12,4.12,NEUTRAL,370.61,2.0,21.0,0.86,368.9567,C15H10BrClFNO2,3.0,1.0,0.0,-0.3
2889,309.7,3.65,2.0,1.0,38.33,2.0,N,0.0,11.41,,3.5,3.5,NEUTRAL,309.7,2.0,21.0,0.92,309.0368,C15H10ClF2NO2,3.0,1.0,0.0,-0.58
2890,422.56,5.79,4.0,2.0,93.06,16.0,N,1.0,4.02,,6.53,0.64,ACID,422.56,1.0,30.0,0.33,422.2668,C24H38O6,6.0,2.0,1.0,0.02
2891,477.0,6.55,4.0,2.0,93.06,13.0,N,1.0,4.0,,7.0,1.1,ACID,477.0,2.0,33.0,0.32,476.1966,C26H33ClO6,6.0,2.0,1.0,-0.29
2892,285.34,4.23,3.0,1.0,47.56,6.0,N,0.0,,,3.7,3.7,NEUTRAL,285.34,2.0,21.0,0.86,285.1365,C17H19NO3,4.0,1.0,0.0,-0.95
2893,285.34,4.23,3.0,1.0,47.56,6.0,N,0.0,,,3.7,3.7,NEUTRAL,285.34,2.0,21.0,0.86,285.1365,C17H19NO3,4.0,1.0,0.0,-1.07
2894,257.29,3.45,3.0,1.0,47.56,4.0,N,0.0,,,2.55,2.55,NEUTRAL,257.29,2.0,19.0,0.91,257.1052,C15H15NO3,4.0,1.0,0.0,-0.99
2895,210.13,-0.84,3.0,4.0,121.92,4.0,N,0.0,0.52,11.5,-2.45,-6.2,ZWITTERION,254.09,0.0,13.0,0.27,210.0406,C5H9N2Na2O5P,7.0,4.0,0.0,0.09
2896,211.11,-1.33,3.0,6.0,142.74,4.0,N,1.0,-1.04,13.74,-2.27,-7.85,ZWITTERION,255.08,0.0,13.0,0.19,211.0358,C4H8N3Na2O5P,8.0,6.0,1.0,0.67
2897,196.1,-1.18,3.0,5.0,130.71,4.0,N,0.0,0.52,11.43,-2.77,-6.52,ZWITTERION,240.06,0.0,12.0,0.22,196.0249,C4H7N2Na2O5P,7.0,5.0,0.0,0.28
2898,502.74,7.5,6.0,0.0,52.6,13.0,N,2.0,,,8.06,8.06,,502.74,2.0,34.0,0.16,502.2212,C28H38O4S2,4.0,0.0,2.0,-0.29
2899,512.69,6.73,6.0,0.0,71.06,14.0,N,2.0,,,7.72,7.72,NEUTRAL,512.69,2.0,37.0,0.21,512.3138,C31H44O6,6.0,0.0,2.0,-0.17
2900,476.65,6.45,6.0,0.0,71.06,13.0,N,1.0,,,7.16,7.16,NEUTRAL,476.65,1.0,34.0,0.24,476.3138,C28H44O6,6.0,0.0,1.0,-0.11
2901,341.46,4.06,4.0,3.0,70.23,4.0,N,0.0,8.79,3.58,3.24,3.22,NEUTRAL,341.46,1.0,25.0,0.72,341.2103,C20H27N3O2,5.0,3.0,0.0,-0.31
2902,372.85,4.1,4.0,2.0,93.06,10.0,N,0.0,3.43,,4.47,-2.12,ACID,372.85,1.0,25.0,0.64,372.134,C18H25ClO6,6.0,2.0,0.0,-0.3
2903,418.53,5.29,4.0,2.0,93.06,14.0,N,1.0,3.87,,5.6,-0.5,ACID,418.53,1.0,30.0,0.4,418.2355,C24H34O6,6.0,2.0,1.0,0.16
2904,546.57,0.87,11.0,4.0,217.21,8.0,N,2.0,9.96,10.96,0.25,-1.48,BASE,546.57,4.0,39.0,0.18,546.1546,C24H22N10O4S,14.0,6.0,3.0,-1.39
2905,552.02,3.03,9.0,3.0,167.58,7.0,N,1.0,9.99,3.82,2.69,2.69,NEUTRAL,552.02,4.0,38.0,0.3,551.1143,C25H22ClN7O4S,11.0,5.0,2.0,-1.5
2906,543.99,1.8,8.0,5.0,204.88,7.0,N,1.0,9.99,3.83,1.15,1.15,NEUTRAL,543.99,3.0,37.0,0.28,543.1092,C23H22ClN7O5S,12.0,8.0,3.0,-1.13
2908,197.09,-1.72,3.0,6.0,142.74,3.0,N,1.0,-1.05,13.34,-2.51,-8.33,ZWITTERION,241.05,0.0,12.0,0.18,197.0202,C3H6N3Na2O5P,8.0,6.0,1.0,0.8
2909,398.52,3.96,4.0,2.0,106.89,12.0,N,0.0,3.67,,3.8,-2.5,ACID,398.52,1.0,27.0,0.41,398.1763,C20H30O6S,6.0,2.0,0.0,0.05
2910,366.54,4.82,4.0,2.0,58.92,14.0,N,0.0,,,4.7,4.7,NEUTRAL,366.54,1.0,26.0,0.46,366.277,C22H38O4,4.0,2.0,0.0,0.15
2911,410.46,3.92,5.0,3.0,130.36,13.0,N,0.0,3.13,,4.41,-5.1,ACID,410.46,1.0,29.0,0.42,410.1941,C21H30O8,8.0,3.0,0.0,-0.16
2912,641.13,3.11,9.0,4.0,195.93,9.0,N,1.0,9.77,3.72,3.09,3.09,NEUTRAL,641.13,4.0,43.0,0.2,640.0966,C28H25ClN6O6S2,12.0,6.0,3.0,-1.22
2913,416.09,6.14,3.0,1.0,54.98,3.0,N,1.0,8.01,2.0,6.05,5.97,NEUTRAL,416.09,3.0,25.0,0.52,413.9496,C17H10Cl4N2O2,4.0,1.0,1.0,-0.56
2914,388.85,5.85,3.0,0.0,43.37,6.0,N,1.0,,,6.69,6.69,,388.85,3.0,28.0,0.23,388.0866,C24H17ClO3,3.0,0.0,1.0,-0.27
2915,357.41,4.67,4.0,3.0,70.23,4.0,N,0.0,8.73,,4.6,4.58,NEUTRAL,357.41,3.0,27.0,0.59,357.1477,C22H19N3O2,5.0,3.0,0.0,-0.48
2916,474.62,6.38,5.0,2.0,93.06,14.0,N,1.0,3.59,,6.94,0.51,ACID,474.62,2.0,33.0,0.31,474.2076,C26H34O6S,6.0,2.0,1.0,-0.34
2917,761.03,8.39,6.0,0.0,42.56,10.0,N,2.0,,9.29,-1.01,-3.2,BASE,951.22,8.0,57.0,0.13,760.4454,C51H62N6O8S2,8.0,0.0,2.0,-0.11
2918,382.52,4.94,4.0,2.0,83.83,12.0,N,0.0,4.0,,5.43,-0.49,ACID,382.52,1.0,26.0,0.39,382.1814,C20H30O5S,5.0,2.0,0.0,-0.49
2919,313.35,3.99,4.0,1.0,56.79,5.0,N,0.0,,,3.37,3.37,NEUTRAL,313.35,2.0,23.0,0.91,313.1314,C18H19NO4,5.0,1.0,0.0,-0.91
2920,347.47,4.86,5.0,1.0,66.53,4.0,N,0.0,,4.84,4.16,4.16,NEUTRAL,347.47,3.0,26.0,0.73,347.211,C21H25N5,5.0,1.0,0.0,-1.59
2921,423.9,3.74,7.0,2.0,94.3,5.0,N,0.0,,4.66,2.88,2.88,NEUTRAL,423.9,3.0,30.0,0.65,423.1462,C22H22ClN5O2,7.0,2.0,0.0,-1.22
2922,354.41,5.2,3.0,0.0,43.37,6.0,N,1.0,,,6.09,6.09,,354.41,3.0,27.0,0.26,354.1256,C24H18O3,3.0,0.0,1.0,-0.04
2927,287.32,3.07,4.0,1.0,56.79,6.0,N,0.0,13.31,,2.38,2.38,NEUTRAL,287.32,2.0,21.0,0.89,287.1158,C16H17NO4,5.0,1.0,0.0,-1.33
2928,283.33,3.84,3.0,1.0,47.56,5.0,N,0.0,,,3.33,3.33,NEUTRAL,283.33,2.0,21.0,0.91,283.1208,C17H17NO3,4.0,1.0,0.0,-1.29
2929,434.57,5.44,6.0,0.0,71.06,13.0,N,1.0,,,6.17,6.17,NEUTRAL,434.57,1.0,31.0,0.3,434.2668,C25H38O6,6.0,0.0,1.0,-0.02
2930,438.56,5.06,5.0,3.0,113.29,15.0,N,1.0,3.66,,5.37,-0.99,ACID,438.56,1.0,31.0,0.33,438.2618,C24H38O7,7.0,3.0,1.0,0.03
2931,463.99,5.21,4.0,0.0,93.11,6.0,N,1.0,12.04,,3.22,3.22,NEUTRAL,463.99,2.0,31.0,0.55,463.1333,C22H26ClN3O4S,7.0,0.0,1.0,-0.67
2932,422.52,4.22,7.0,0.0,88.13,13.0,N,0.0,,,4.76,4.76,NEUTRAL,422.52,1.0,30.0,0.27,422.2305,C23H34O7,7.0,0.0,0.0,-0.12
2935,392.41,4.25,6.0,0.0,67.13,3.0,N,0.0,,,3.45,3.45,NEUTRAL,392.41,3.0,29.0,0.62,392.126,C23H20O6,6.0,0.0,0.0,1.51
2936,394.42,3.7,6.0,0.0,63.22,3.0,N,0.0,13.99,,3.32,3.32,NEUTRAL,394.42,2.0,29.0,0.74,394.1416,C23H22O6,6.0,0.0,0.0,1.84
2937,498.62,5.63,7.0,0.0,88.13,14.0,N,1.0,,,6.5,6.5,NEUTRAL,498.62,2.0,36.0,0.19,498.2618,C29H38O7,7.0,0.0,1.0,-0.15
2938,458.55,6.02,5.0,2.0,102.29,14.0,N,1.0,3.87,,6.25,0.15,ACID,458.55,2.0,33.0,0.33,458.2305,C26H34O7,7.0,2.0,1.0,-0.07
2939,256.74,3.34,2.0,1.0,38.38,1.0,N,0.0,,8.2,3.55,2.69,NEUTRAL,256.74,2.0,18.0,0.84,256.0767,C15H13ClN2,2.0,2.0,0.0,-0.28
2940,373.07,5.94,2.0,2.0,54.7,2.0,N,1.0,12.88,7.77,5.73,5.23,NEUTRAL,373.07,3.0,22.0,0.58,370.9551,C15H9Cl4N3,3.0,3.0,1.0,-0.51
2941,358.05,6.36,1.0,1.0,28.68,2.0,N,1.0,12.54,5.56,5.87,5.87,NEUTRAL,358.05,3.0,21.0,0.57,355.9442,C15H8Cl4N2,2.0,1.0,1.0,-0.62
2942,394.51,5.01,4.0,2.0,93.06,14.0,N,1.0,3.94,,5.64,-0.36,ACID,394.51,1.0,28.0,0.43,394.2355,C22H34O6,6.0,2.0,1.0,0.07
2943,325.11,2.52,3.0,2.0,83.83,4.0,N,0.0,2.1,,3.05,-3.31,ACID,325.11,2.0,19.0,0.84,323.9633,C13H9BrO5,5.0,2.0,0.0,-0.27
2944,211.11,-1.38,3.0,5.0,133.95,3.0,N,0.0,-1.1,13.57,-2.25,-8.04,ZWITTERION,255.08,0.0,13.0,0.22,211.0358,C4H8N3Na2O5P,8.0,5.0,0.0,0.77
2945,299.37,4.62,3.0,1.0,47.56,7.0,N,0.0,,,4.14,4.14,NEUTRAL,299.37,2.0,22.0,0.81,299.1521,C18H21NO3,4.0,1.0,0.0,-0.99
2946,299.37,4.47,3.0,1.0,47.56,6.0,N,0.0,,,3.99,3.99,NEUTRAL,299.37,2.0,22.0,0.86,299.1521,C18H21NO3,4.0,1.0,0.0,-0.94
2947,857.92,-0.45,11.0,9.0,312.96,23.0,N,3.0,1.79,,-1.13,-7.4,ACID,857.92,1.0,58.0,0.06,857.3394,C36H56N7O13PS,20.0,10.0,3.0,-0.07
2948,410.58,5.56,4.0,2.0,83.83,12.0,N,1.0,4.01,,6.46,0.55,ACID,410.58,1.0,28.0,0.35,410.2127,C22H34O5S,5.0,2.0,1.0,-0.45
2949,414.52,3.62,5.0,2.0,117.97,12.0,N,0.0,3.4,,3.9,-2.64,ACID,414.52,1.0,28.0,0.5,414.1712,C20H30O7S,7.0,2.0,0.0,-0.64
2950,404.15,7.08,2.0,1.0,28.68,3.0,N,1.0,10.82,4.0,7.18,7.18,NEUTRAL,404.15,3.0,23.0,0.47,401.9319,C16H10Cl4N2S,2.0,1.0,1.0,-1.05
2951,315.76,3.57,4.0,1.0,51.46,2.0,N,0.0,8.71,0.25,4.25,4.23,NEUTRAL,315.76,3.0,22.0,0.79,315.0662,C17H14ClNO3,4.0,1.0,0.0,0.17
2952,472.58,5.9,5.0,2.0,102.29,14.0,N,1.0,4.05,,6.24,0.4,ACID,472.58,2.0,34.0,0.33,472.2461,C27H36O7,7.0,2.0,1.0,-0.11
2953,394.51,4.4,6.0,0.0,71.06,12.0,N,0.0,,,5.04,5.04,NEUTRAL,394.51,1.0,28.0,0.39,394.2355,C22H34O6,6.0,0.0,0.0,-0.1
2954,456.58,5.82,4.0,2.0,93.06,14.0,N,1.0,3.84,,6.84,0.71,ACID,456.58,2.0,33.0,0.35,456.2512,C27H36O6,6.0,2.0,1.0,-0.08
2955,897.98,-0.71,12.0,9.0,330.03,25.0,N,3.0,2.08,,-0.13,-9.66,ACID,897.98,1.0,62.0,0.05,897.359,C39H56FN7O14S,21.0,10.0,3.0,-0.27
2956,553.0,2.43,10.0,3.0,180.47,7.0,N,1.0,9.99,3.74,2.01,2.0,NEUTRAL,553.0,4.0,38.0,0.29,552.1095,C24H21ClN8O4S,12.0,5.0,2.0,-1.33
2957,285.34,4.08,3.0,1.0,47.56,5.0,N,0.0,,,3.8,3.8,NEUTRAL,285.34,2.0,21.0,0.9,285.1365,C17H19NO3,4.0,1.0,0.0,-1.01
2958,559.63,1.46,9.0,3.0,179.14,9.0,N,1.0,8.76,3.43,1.05,1.03,NEUTRAL,559.63,3.0,38.0,0.35,559.1195,C24H25N5O7S2,12.0,4.0,2.0,-0.98
2959,359.71,4.53,2.0,1.0,38.33,2.0,N,0.0,11.56,,4.23,4.23,NEUTRAL,359.71,2.0,24.0,0.8,359.0336,C16H10ClF4NO2,3.0,1.0,0.0,-0.65
2960,305.74,3.82,2.0,1.0,38.33,2.0,N,0.0,11.7,,3.87,3.87,NEUTRAL,305.74,2.0,21.0,0.92,305.0619,C16H13ClFNO2,3.0,1.0,0.0,-0.44
2961,301.73,3.98,4.0,2.0,62.58,2.0,N,0.0,7.47,3.14,3.62,3.35,NEUTRAL,301.73,3.0,21.0,0.75,301.0506,C16H12ClNO3,4.0,2.0,0.0,-0.15
2962,316.74,4.13,4.0,0.0,48.67,3.0,N,0.0,,,3.63,3.63,NEUTRAL,316.74,3.0,22.0,0.73,316.0502,C17H13ClO4,4.0,0.0,0.0,0.3
2963,303.15,4.05,2.0,1.0,37.3,3.0,N,0.0,9.04,,4.36,4.35,NEUTRAL,303.15,2.0,18.0,0.69,301.9942,C15H11BrO2,2.0,1.0,0.0,0.08
2964,732.97,8.37,4.0,2.0,64.28,10.0,N,2.0,,7.66,-1.07,-1.64,NEUTRAL,923.17,8.0,55.0,0.14,732.4141,C49H58N6O8S2,8.0,2.0,2.0,-0.05
2966,350.83,3.34,3.0,2.0,75.27,3.0,N,0.0,3.6,,4.09,3.14,ACID,350.83,2.0,23.0,0.89,350.0492,C16H15ClN2O3S,5.0,2.0,0.0,-1.68
2967,379.38,3.8,6.0,3.0,117.81,4.0,N,0.0,8.73,,3.29,3.27,NEUTRAL,379.38,3.0,29.0,0.59,379.1069,C22H13N5O2,7.0,3.0,0.0,-0.68
2968,324.79,3.16,3.0,2.0,75.27,3.0,N,0.0,3.6,,3.59,2.65,ACID,324.79,2.0,21.0,0.91,324.0335,C14H13ClN2O3S,5.0,2.0,0.0,-1.74
2969,424.53,4.67,5.0,3.0,113.29,14.0,N,0.0,3.66,,4.92,-1.43,ACID,424.53,1.0,30.0,0.37,424.2461,C23H36O7,7.0,3.0,0.0,-0.03
2970,410.51,4.28,5.0,3.0,113.29,13.0,N,0.0,3.66,,4.4,-1.95,ACID,410.51,1.0,29.0,0.42,410.2305,C22H34O7,7.0,3.0,0.0,0.02
2971,293.15,4.6,2.0,1.0,37.3,3.0,N,0.0,9.04,,4.79,4.78,NEUTRAL,293.15,2.0,19.0,0.66,292.0058,C15H10Cl2O2,2.0,1.0,0.0,-0.29
2976,283.33,4.0,3.0,1.0,47.56,5.0,N,0.0,,,3.7,3.7,NEUTRAL,283.33,2.0,21.0,0.84,283.1208,C17H17NO3,4.0,1.0,0.0,-0.72
2977,240.28,2.83,2.0,1.0,38.38,1.0,Y,0.0,,9.36,3.08,1.25,BASE,240.28,2.0,18.0,0.82,240.1063,C15H13FN2,2.0,2.0,0.0,-0.37
2978,160.22,1.34,2.0,1.0,38.38,0.0,Y,0.0,,10.6,1.6,-0.75,BASE,160.22,1.0,12.0,0.61,160.1,C10H12N2,2.0,2.0,0.0,-0.37
2979,212.26,1.41,3.0,2.0,67.06,1.0,N,0.0,12.35,8.67,1.05,-0.22,BASE,212.26,2.0,16.0,0.75,212.1062,C12H12N4,4.0,3.0,0.0,-0.32
2980,258.27,2.97,2.0,1.0,38.38,1.0,Y,0.0,,7.43,3.23,2.91,NEUTRAL,258.27,2.0,19.0,0.84,258.0969,C15H12F2N2,2.0,2.0,0.0,-0.59
2981,258.27,2.97,2.0,1.0,38.38,1.0,Y,0.0,,8.76,3.23,1.89,BASE,258.27,2.0,19.0,0.84,258.0969,C15H12F2N2,2.0,2.0,0.0,-0.4
2982,258.27,2.97,2.0,1.0,38.38,1.0,Y,0.0,,9.44,3.23,1.34,BASE,258.27,2.0,19.0,0.84,258.0969,C15H12F2N2,2.0,2.0,0.0,-0.41
2983,258.27,2.97,2.0,1.0,38.38,1.0,Y,0.0,,8.87,3.23,1.79,BASE,258.27,2.0,19.0,0.84,258.0969,C15H12F2N2,2.0,2.0,0.0,-0.71
2984,240.28,2.83,2.0,1.0,38.38,1.0,Y,0.0,,7.43,3.08,2.77,NEUTRAL,240.28,2.0,18.0,0.82,240.1063,C15H13FN2,2.0,2.0,0.0,-0.38
2985,256.74,3.34,2.0,1.0,38.38,1.0,N,0.0,,9.43,3.55,1.66,BASE,256.74,2.0,18.0,0.84,256.0767,C15H13ClN2,2.0,2.0,0.0,-0.26
2986,281.31,3.45,3.0,1.0,47.56,5.0,N,0.0,13.98,,2.89,2.89,NEUTRAL,281.31,2.0,21.0,0.85,281.1052,C17H15NO3,4.0,1.0,0.0,-1.16
2987,286.33,4.01,4.0,2.0,59.59,5.0,N,0.0,13.57,0.11,3.47,3.47,NEUTRAL,286.33,2.0,21.0,0.87,286.1317,C16H18N2O3,5.0,2.0,0.0,-1.25
2989,446.77,7.09,3.0,2.0,41.49,2.0,N,1.0,7.71,3.38,6.19,6.02,NEUTRAL,446.77,2.0,27.0,0.48,445.0444,C22H21BrClNO2,3.0,2.0,1.0,0.86
