as_id,rgid,smid,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments
2529,1367,1015141,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147082; SP_FLG: true; BARCODE: No ChipData
2530,1368,1015142,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0147083; SP_FLG: true; BARCODE: No ChipData
2531,1371,1015143,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0146094; SP_FLG: true; BARCODE: No ChipData
2532,1372,1015144,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0146105; SP_FLG: true; BARCODE: No ChipData
2533,1373,1015145,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0146102; SP_FLG: true; BARCODE: No ChipData
2534,1374,1015146,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0146103; SP_FLG: true; BARCODE: No ChipData
2535,1375,1015147,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0146125; SP_FLG: true; BARCODE: No ChipData
2536,1376,1015148,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0147093; SP_FLG: true; BARCODE: No ChipData
2537,1377,1015149,Liver_Necrosis,,,,minimal,Liver_Necrosis,,,,minimal,SAMPLE_ID: 0147103; SP_FLG: true; BARCODE: 003017731008
2538,1378,1015150,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0147105; SP_FLG: true; BARCODE: No ChipData
2539,1379,1015151,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0147102; SP_FLG: true; BARCODE: No ChipData
2540,1380,1015152,Liver_Hypertrophy (Centrilobular),,,,minimal,Liver_Hypertrophy (Centrilobular),,,,minimal,SAMPLE_ID: 0147114; SP_FLG: false; BARCODE: 003017731020
2541,1381,1015153,Liver_Hypertrophy (Centrilobular),,,,minimal,Liver_Hypertrophy (Centrilobular),,,,minimal,SAMPLE_ID: 0147115; SP_FLG: false; BARCODE: 003017731021
2542,1382,1015154,Liver_Hypertrophy (Centrilobular),,,,slight,Liver_Hypertrophy (Centrilobular),,,,slight,SAMPLE_ID: 0147111; SP_FLG: false; BARCODE: No ChipData
2543,1383,1015155,Liver_Hypertrophy (Centrilobular),,,,slight,Liver_Hypertrophy (Centrilobular),,,,slight,SAMPLE_ID: 0147112; SP_FLG: false; BARCODE: No ChipData
2544,1384,1015156,Liver_Hypertrophy (Centrilobular),,,,slight,Liver_Hypertrophy (Centrilobular),,,,slight,SAMPLE_ID: 0147113; SP_FLG: false; BARCODE: 003017731019
2545,1380,1015157,Liver_Necrosis,,,,minimal,Liver_Necrosis,,,,minimal,SAMPLE_ID: 0147114; SP_FLG: true; BARCODE: 003017731020
2546,1381,1015158,Kidney_Dilatation (Pelvic cavity),,,,slight,Kidney_Dilatation (Pelvic cavity),,,,slight,SAMPLE_ID: 0147115; SP_FLG: true; BARCODE: No ChipData
2547,1381,1015159,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147115; SP_FLG: true; BARCODE: No ChipData
2548,1385,1015160,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147121; SP_FLG: false; BARCODE: No ChipData
2549,1386,1015161,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147122; SP_FLG: false; BARCODE: 003017732001
2550,1387,1015162,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147123; SP_FLG: false; BARCODE: 003017732002
2551,1388,1015163,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147124; SP_FLG: false; BARCODE: 003017732003
2552,1389,1015164,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147125; SP_FLG: false; BARCODE: No ChipData
2553,1388,1015165,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147124; SP_FLG: false; BARCODE: No ChipData
2554,1387,1015166,Kidney_Eosinophilic body,,,,slight,Kidney_Eosinophilic body,,,,slight,SAMPLE_ID: 0147123; SP_FLG: false; BARCODE: No ChipData
2555,1389,1015167,Kidney_Eosinophilic body,,,,slight,Kidney_Eosinophilic body,,,,slight,SAMPLE_ID: 0147125; SP_FLG: false; BARCODE: No ChipData
2556,1386,1015168,Kidney_Eosinophilic body,,,,moderate,Kidney_Eosinophilic body,,,,moderate,SAMPLE_ID: 0147122; SP_FLG: false; BARCODE: No ChipData
2557,1387,1015169,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0147123; SP_FLG: true; BARCODE: No ChipData
2558,1389,1015170,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0147125; SP_FLG: true; BARCODE: No ChipData
2559,1385,1015171,Kidney_Scar (Medulla),,,,minimal,Kidney_Scar (Medulla),,,,minimal,SAMPLE_ID: 0147121; SP_FLG: true; BARCODE: No ChipData
2560,1390,1015172,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0146135; SP_FLG: true; BARCODE: No ChipData
2561,1391,1015173,Liver_Cellular infiltration (Portal),,,,minimal,Liver_Cellular infiltration (Portal),,,,minimal,SAMPLE_ID: 0146143; SP_FLG: true; BARCODE: 003017677015
2562,1392,1015174,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0146144; SP_FLG: true; BARCODE: No ChipData
2563,1393,1015175,Liver_Cellular infiltration (Portal),,,,minimal,Liver_Cellular infiltration (Portal),,,,minimal,SAMPLE_ID: 0146164; SP_FLG: true; BARCODE: No ChipData
2564,1394,1015176,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0147135; SP_FLG: true; BARCODE: 003017730030
2565,1395,1015177,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147134; SP_FLG: false; BARCODE: No ChipData
2566,1394,1015178,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147135; SP_FLG: false; BARCODE: No ChipData
2567,1396,1015179,Kidney_Eosinophilic body,,,,slight,Kidney_Eosinophilic body,,,,slight,SAMPLE_ID: 0147131; SP_FLG: false; BARCODE: No ChipData
2568,1397,1015180,Liver_Hypertrophy (Centrilobular),,,,minimal,Liver_Hypertrophy (Centrilobular),,,,minimal,SAMPLE_ID: 0147141; SP_FLG: false; BARCODE: No ChipData
2569,1398,1015181,Liver_Hypertrophy (Centrilobular),,,,minimal,Liver_Hypertrophy (Centrilobular),,,,minimal,SAMPLE_ID: 0147142; SP_FLG: false; BARCODE: 003017731010
2570,1399,1015182,Liver_Hypertrophy (Centrilobular),,,,minimal,Liver_Hypertrophy (Centrilobular),,,,minimal,SAMPLE_ID: 0147144; SP_FLG: false; BARCODE: 003017731011
2571,1400,1015183,Liver_Hypertrophy (Centrilobular),,,,slight,Liver_Hypertrophy (Centrilobular),,,,slight,SAMPLE_ID: 0147143; SP_FLG: false; BARCODE: No ChipData
2572,1398,1015184,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147142; SP_FLG: false; BARCODE: No ChipData
2573,1400,1015185,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147143; SP_FLG: false; BARCODE: No ChipData
2574,1399,1015186,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147144; SP_FLG: false; BARCODE: No ChipData
2575,1398,1015187,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0147142; SP_FLG: true; BARCODE: No ChipData
2576,1399,1015188,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0147144; SP_FLG: true; BARCODE: No ChipData
2577,1401,1015189,Liver_Granuloma (Subserosa),,,,minimal,Liver_Granuloma (Subserosa),,,,minimal,SAMPLE_ID: 0147154; SP_FLG: true; BARCODE: 003017731024
2578,1402,1015190,Liver_Hypertrophy (Centrilobular),,,,slight,Liver_Hypertrophy (Centrilobular),,,,slight,SAMPLE_ID: 0147153; SP_FLG: false; BARCODE: 003017731023
2579,1403,1015191,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147151; SP_FLG: false; BARCODE: No ChipData
2580,1404,1015192,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147152; SP_FLG: false; BARCODE: 003017731022
2581,1401,1015193,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147154; SP_FLG: false; BARCODE: 003017731024
2582,1405,1015194,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147155; SP_FLG: false; BARCODE: No ChipData
2583,1405,1015195,Kidney_Dilatation (Pelvic cavity),,,,slight,Kidney_Dilatation (Pelvic cavity),,,,slight,SAMPLE_ID: 0147155; SP_FLG: true; BARCODE: No ChipData
2584,1405,1015196,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147155; SP_FLG: false; BARCODE: No ChipData
2585,1403,1015197,Kidney_Eosinophilic body,,,,slight,Kidney_Eosinophilic body,,,,slight,SAMPLE_ID: 0147151; SP_FLG: false; BARCODE: No ChipData
2586,1402,1015198,Kidney_Eosinophilic body,,,,slight,Kidney_Eosinophilic body,,,,slight,SAMPLE_ID: 0147153; SP_FLG: false; BARCODE: No ChipData
2587,1404,1015199,Kidney_Eosinophilic body,,,,moderate,Kidney_Eosinophilic body,,,,moderate,SAMPLE_ID: 0147152; SP_FLG: false; BARCODE: No ChipData
2588,1401,1015200,Kidney_Eosinophilic body,,,,moderate,Kidney_Eosinophilic body,,,,moderate,SAMPLE_ID: 0147154; SP_FLG: false; BARCODE: No ChipData
2589,1402,1015201,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0147153; SP_FLG: false; BARCODE: No ChipData
2590,1406,1015202,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147161; SP_FLG: false; BARCODE: No ChipData
2591,1407,1015203,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147162; SP_FLG: false; BARCODE: No ChipData
2592,1408,1015204,Liver_Hypertrophy (Centrilobular),,,,moderate,Liver_Hypertrophy (Centrilobular),,,,moderate,SAMPLE_ID: 0147164; SP_FLG: false; BARCODE: 003017732005
2593,1409,1015205,Liver_Hypertrophy (Centrilobular),,,,severe,Liver_Hypertrophy (Centrilobular),,,,severe,SAMPLE_ID: 0147163; SP_FLG: false; BARCODE: 003017732004
2594,1410,1015206,Liver_Hypertrophy (Centrilobular),,,,severe,Liver_Hypertrophy (Centrilobular),,,,severe,SAMPLE_ID: 0147165; SP_FLG: false; BARCODE: 003017732006
2595,1408,1015207,Kidney_Eosinophilic body,,,,minimal,Kidney_Eosinophilic body,,,,minimal,SAMPLE_ID: 0147164; SP_FLG: false; BARCODE: No ChipData
2596,1406,1015208,Kidney_Eosinophilic body,,,,moderate,Kidney_Eosinophilic body,,,,moderate,SAMPLE_ID: 0147161; SP_FLG: false; BARCODE: No ChipData
2597,1407,1015209,Kidney_Eosinophilic body,,,,moderate,Kidney_Eosinophilic body,,,,moderate,SAMPLE_ID: 0147162; SP_FLG: false; BARCODE: No ChipData
2598,1409,1015210,Kidney_Eosinophilic body,,,,moderate,Kidney_Eosinophilic body,,,,moderate,SAMPLE_ID: 0147163; SP_FLG: false; BARCODE: No ChipData
2599,1410,1015211,Kidney_Eosinophilic body,,,,moderate,Kidney_Eosinophilic body,,,,moderate,SAMPLE_ID: 0147165; SP_FLG: false; BARCODE: No ChipData
2600,1407,1015212,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0147162; SP_FLG: true; BARCODE: No ChipData
2601,1411,1015213,Liver_Necrosis,,,,minimal,Liver_Necrosis,,,,minimal,SAMPLE_ID: 0066031; SP_FLG: true; BARCODE: 003017662012
2602,1412,1015214,"Kidney_Cast,hyaline (Renal tubule)",,,,minimal,"Kidney_Cast,hyaline (Renal tubule)",,,,minimal,SAMPLE_ID: 0066043; SP_FLG: true; BARCODE: No ChipData
2603,1412,1015215,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0066043; SP_FLG: true; BARCODE: No ChipData
2604,1413,1015216,Kidney_Dilatation (Pelvic cavity),,,,minimal,Kidney_Dilatation (Pelvic cavity),,,,minimal,SAMPLE_ID: 0067023; SP_FLG: true; BARCODE: No ChipData
2605,1414,1015217,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0067034; SP_FLG: true; BARCODE: No ChipData
2606,1415,1015218,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0067035; SP_FLG: true; BARCODE: No ChipData
2607,1416,1015219,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0066114; SP_FLG: true; BARCODE: No ChipData
2608,1417,1015220,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0066122; SP_FLG: true; BARCODE: No ChipData
2609,1417,1015221,Kidney_Inflammation (Renal tubule),,,,minimal,Kidney_Inflammation (Renal tubule),,,,minimal,SAMPLE_ID: 0066122; SP_FLG: true; BARCODE: No ChipData
2610,1418,1015222,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,SAMPLE_ID: 0067091; SP_FLG: false; BARCODE: No ChipData
2611,1419,1015223,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,SAMPLE_ID: 0067092; SP_FLG: false; BARCODE: 003017670014
2612,1420,1015224,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,SAMPLE_ID: 0067094; SP_FLG: false; BARCODE: 003017670016
2613,1421,1015225,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,SAMPLE_ID: 0067095; SP_FLG: false; BARCODE: No ChipData
2614,1422,1015226,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067093; SP_FLG: false; BARCODE: 003017670015
2615,1422,1015227,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0067093; SP_FLG: true; BARCODE: No ChipData
2616,1423,1015228,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067103; SP_FLG: false; BARCODE: No ChipData
2617,1424,1015229,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067105; SP_FLG: false; BARCODE: 003017670028
2618,1423,1015230,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,SAMPLE_ID: 0067103; SP_FLG: false; BARCODE: No ChipData
2619,1425,1015231,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067101; SP_FLG: false; BARCODE: 003017670026
2620,1426,1015232,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067102; SP_FLG: false; BARCODE: 003017670027
2621,1427,1015233,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067104; SP_FLG: false; BARCODE: No ChipData
2622,1424,1015234,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067105; SP_FLG: false; BARCODE: 003017670028
2623,1428,1015235,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067111; SP_FLG: false; BARCODE: 003017672002
2624,1429,1015236,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067112; SP_FLG: false; BARCODE: No ChipData
2625,1430,1015237,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067113; SP_FLG: false; BARCODE: 003017672003
2626,1431,1015238,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067114; SP_FLG: false; BARCODE: No ChipData
2627,1432,1015239,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067115; SP_FLG: false; BARCODE: 003017672004
2628,1429,1015240,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,SAMPLE_ID: 0067112; SP_FLG: false; BARCODE: No ChipData
2629,1428,1015241,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067111; SP_FLG: false; BARCODE: 003017672002
2630,1430,1015242,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067113; SP_FLG: false; BARCODE: 003017672003
2631,1431,1015243,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067114; SP_FLG: false; BARCODE: No ChipData
2632,1432,1015244,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067115; SP_FLG: false; BARCODE: 003017672004
2633,1428,1015245,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,SAMPLE_ID: 0067111; SP_FLG: false; BARCODE: 003017672002
2634,1430,1015246,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0067113; SP_FLG: true; BARCODE: No ChipData
2635,1433,1015247,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067121; SP_FLG: false; BARCODE: No ChipData
2636,1434,1015248,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067122; SP_FLG: false; BARCODE: 003017672014
2637,1435,1015249,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067123; SP_FLG: false; BARCODE: 003017672015
2638,1436,1015250,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067124; SP_FLG: false; BARCODE: No ChipData
2639,1437,1015251,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067125; SP_FLG: false; BARCODE: 003017672016
2640,1433,1015252,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067121; SP_FLG: false; BARCODE: No ChipData
2641,1434,1015253,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067122; SP_FLG: false; BARCODE: 003017672014
2642,1435,1015254,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067123; SP_FLG: false; BARCODE: 003017672015
2643,1436,1015255,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067124; SP_FLG: false; BARCODE: No ChipData
2644,1437,1015256,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067125; SP_FLG: false; BARCODE: 003017672016
2645,1433,1015257,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,SAMPLE_ID: 0067121; SP_FLG: false; BARCODE: No ChipData
2646,1436,1015258,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,SAMPLE_ID: 0067124; SP_FLG: false; BARCODE: No ChipData
2647,1433,1015259,Liver_Fibrosis (Centrilobular),,,,minimal,Liver_Fibrosis (Centrilobular),,,,minimal,SAMPLE_ID: 0067121; SP_FLG: false; BARCODE: No ChipData
2648,1435,1015260,Liver_Fibrosis (Centrilobular),,,,minimal,Liver_Fibrosis (Centrilobular),,,,minimal,SAMPLE_ID: 0067123; SP_FLG: false; BARCODE: 003017672015
2649,1436,1015261,Liver_Fibrosis (Centrilobular),,,,minimal,Liver_Fibrosis (Centrilobular),,,,minimal,SAMPLE_ID: 0067124; SP_FLG: false; BARCODE: No ChipData
2650,1437,1015262,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0067125; SP_FLG: true; BARCODE: No ChipData
2651,1438,1015263,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,SAMPLE_ID: 0066172; SP_FLG: false; BARCODE: 003017662006
2652,1439,1015264,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,SAMPLE_ID: 0066174; SP_FLG: false; BARCODE: No ChipData
2653,1440,1015265,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0066183; SP_FLG: true; BARCODE: No ChipData
2654,1441,1015266,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,SAMPLE_ID: 0066191; SP_FLG: false; BARCODE: No ChipData
2655,1442,1015267,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,"Liver_Degeneration, fatty (Centrilobular)",,,,minimal,SAMPLE_ID: 0066193; SP_FLG: false; BARCODE: No ChipData
2656,1441,1015268,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,"Kidney_Dilatation, cystic (Renal tubule)",,,,minimal,SAMPLE_ID: 0066191; SP_FLG: true; BARCODE: No ChipData
2657,1443,1015269,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067131; SP_FLG: false; BARCODE: No ChipData
2658,1444,1015270,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067132; SP_FLG: false; BARCODE: 003017670017
2659,1445,1015271,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067133; SP_FLG: false; BARCODE: No ChipData
2660,1446,1015272,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067134; SP_FLG: false; BARCODE: 003017670018
2661,1447,1015273,Liver_Cellular infiltration (Centrilobular),,,,minimal,Liver_Cellular infiltration (Centrilobular),,,,minimal,SAMPLE_ID: 0067135; SP_FLG: false; BARCODE: 003017670019
2662,1443,1015274,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067131; SP_FLG: false; BARCODE: No ChipData
2663,1444,1015275,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067132; SP_FLG: false; BARCODE: 003017670017
2664,1445,1015276,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067133; SP_FLG: false; BARCODE: No ChipData
2665,1446,1015277,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067134; SP_FLG: false; BARCODE: 003017670018
2666,1447,1015278,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,"Liver_Degeneration, fatty (Centrilobular)",,,,slight,SAMPLE_ID: 0067135; SP_FLG: false; BARCODE: 003017670019
2667,1446,1015279,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,SAMPLE_ID: 0067134; SP_FLG: false; BARCODE: 003017670018
2668,1447,1015280,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,"Liver_Degeneration, hydropic (Centrilobular)",,,,minimal,SAMPLE_ID: 0067135; SP_FLG: false; BARCODE: 003017670019
2669,1443,1015281,"Liver_Degeneration, hydropic (Centrilobular)",,,,slight,"Liver_Degeneration, hydropic (Centrilobular)",,,,slight,SAMPLE_ID: 0067131; SP_FLG: false; BARCODE: No ChipData
