usan_stem_id,stem,subgroup,annotation,stem_class,major_class
3744,-padon,,"dopamine D1-like receptors (e.g., D1 and D5 subtypes) agonists/partial agonists and potentiators",suffix,
3745,-pafant,,platelet-activating factor antagonists,suffix,GPCR
3746,-pamide,,diuretics (sulfamoylbenzoic acid derivatives),suffix,
3747,-pamil,,coronary vasodilators (verapamil type),suffix,ion channel
3748,-pamine,,dopaminergics (butopamine type),suffix,GPCR
3749,-pansel,,selectin antagonists inhibiting all selectin types,suffix,
3750,-parantag,,antagonists of heparin and/or low molecular weight heparins,suffix,
3751,-parcin,,glycopeptide antibiotics,suffix,
3752,-parib,,poly-ADP-ribose polymerase inhibitors,suffix,
3753,-parin,,heparin derivatives and low molecular weight (or depolymerized) heparins,suffix,
3754,-parinux,,antihrombotic indirect selective synthetic factor Xa inhibitors,suffix,
3755,-paroid,,antithrombotics (heparinoid type),suffix,
3756,-paxar,,Protease-activated receptor 1 (PAR1) antagonists,suffix,
3757,peg-,,"PEGylated compounds, covalent attachment of macrogol (polyethylene glycol) polymer",prefix,
3758,-penem,,"antibacterial antibiotics, carbapenem derivatives",suffix,
3759,perflu-,,blood substitutes and/or diagnostics (perfluorochemicals),prefix,
3760,-perit,,neuropeptide Y5 antagonists,suffix,GPCR
3761,-perone,,antianxiety agents/neuroleptics (4'-fluoro-4-piperidinobutyrophenone derivatives),suffix,
3762,-perone,-peridol,antianxiety agents/neuroleptics (4'-fluoro-4-piperidinobutyrophenone derivatives): antipsychotics (haloperidol type),suffix,
3763,-perone,-peridone,antianxiety agents/neuroleptics (4'-fluoro-4-piperidinobutyrophenone derivatives): antipsychotics (risperidone type),suffix,
3764,-pertin,,glycine transporter/reuptake inhibitors,suffix,
3765,-pezil,,acetylcholinesterase inhibitors used in the treatment of Alzheimer's disease,suffix,
3766,-pidem,,hypnotics/sedatives (zolpidem type),suffix,ion channel
3767,-pin,,tricyclic compounds,suffix,
3768,-pine,,tricyclic compounds,suffix,
3769,-piprant,,"prostaglandin receptor antagonists, non prostinoid structure",suffix,
3770,-pirdine,,serotonin 5-HT6 receptor inhibitors,suffix,GPCR
3771,-pirox,,antimycotics (pyridone derivatives),suffix,
3772,-pivat,,pyruvate kinase activators,suffix,
3773,-plact,,platelet factor 4 analogs and derivatives,suffix,GPCR
3774,-pladib,,phospholipase A2 inhibitors,suffix,
3775,-plam,,survival motor neurin SMN1 and SMN2 splicing modulators,suffix,
3776,-planin,,antibacterials (Actinoplanes strains),suffix,
3777,-plasinin,,inhibitors of plasminogen activator inhibitors- type 1,suffix,
3778,-plasmin,,plasmin proteins and derivatives,suffix,
3779,-platin,,antineoplastics (platinum derivatives),suffix,
3780,-plenib,,spleen tyrosine kinase (Syk) inhibitors,suffix,
3781,-plon,,"non-benzodiazepine anxiolytics, sedatives, hypnotics",suffix,
3782,-podect,,phosphodiesterase 10 (PDE10) inhibitors,suffix,
3783,-podun,,phosphodiesterase type 1 (PDE1) ihibitors,suffix,
3784,-poetin,,erythropoietins,suffix,
3785,-porfin,,benzoporphyrin derivatives,suffix,
3786,-pramine,,antidepressants (imipramine type),suffix,
3787,-prazan,,"proton pump inhibitors, not dependent on acid activation",suffix,
3788,-prazole,,antiulcer agents (benzimidazole derivatives),suffix,
3789,-prazole,-maprazole,antiulcer agents (benzimidazole derivatives): proton pump inhibitors,suffix,
3790,pred-,,prednisone and prednisolone derivatives,prefix,NR
3791,-pred-,,prednisone and prednisolone derivatives,infix,NR
3792,-pred,,prednisone and prednisolone derivatives,suffix,NR
3793,-pressin,,vasoconstrictors (vasopressin derivatives),suffix,GPCR
3794,-pril,,antihypertensives (ACE inhibitors),suffix,protease
3795,-pril-,,antihypertensives (ACE inhibitors),infix,
3797,-pril-,-prilat,"antihypertensives (ACE inhibitors): antihypertensives (ACE inhibitors), diacid analogs",suffix,
3798,-prinim,,"nootropic agents (learning/cognitive enhancers), purine derivatives",suffix,
3799,-prim,,"antibacterials (trimethoprim type), dihydrofolate reductase (DHFR) inhibitors",suffix,
3800,-pris-,,steriodal compounds acting on progesterone receptors (excluding-gest- compounds),infix,
3801,-prisnil,,selective progesterone receptor modulators (SPRM),suffix,NR
3802,-pristin,,"antibacterials, pristinamycin derivatives",suffix,
3803,-pristone,,progesterone receptor antagonists,suffix,NR
3804,-profen,,anti-inflammatory/analgesic agents (ibuprofen type),suffix,
3805,-proget,,nonsteroidal ligand for the progesterone receptor,suffix,NR
3806,-prost-,,prostaglandins,infix,GPCR
3807,-prost,,prostaglandins,suffix,GPCR
3808,-protafib,,protein tyrosine phosphatase 1B inhibitors,suffix,
3809,-pterin,,pteridine derivatives,suffix,
3810,-punil,,"mitochondrial benzodiazepine receptor (MBR) selective, partial, or inverse agonists (purine derivatives)",suffix,
3811,-queside,,cholesterol sequestrants (glycosides),suffix,
3812,-quiline,,"antibiotics, diarylquinoline structure",suffix,
3813,-quinil,,"benzodiazepine receptor agonists, partial agonists, inverse agonists (quinolone derivatives)",suffix,
3814,-racetam,,"nootropic agents (learning, cognitive enhancers), piracetam type",suffix,
3815,-racil,,uracil type antineoplastics,suffix,
3816,-rafenib,,rapidly accelerated fibrosarcoma (RAF) kinase inhibitors,suffix,kinase
3817,-ragon,,receptor for advanced glycation endproducts (RAGE) inhibitors,suffix,
3818,-rasib,,Kirsten rat sarcoma (KRAS) inhibitors,suffix,
3819,-rebant,,retinol binding protein 4 (RBP4) antagonists,suffix,
3820,-relin,,prehormones or hormone-release stimulating peptides,suffix,
3821,-relin,-morelin,prehormones or hormone-release stimulating peptides: growth hormone-release stimulating peptides,suffix,
3822,-relin,-tirelin,prehormones or hormone-release stimulating peptides: thyrotropin releasing hormone analogues,suffix,GPCR
3823,-relix,,hormone-release inhibiting peptides,suffix,
3824,-renone,,aldosterone antagonists (spironolactone type),suffix,NR
3825,-resdax,,reactive nitrogen and/or oxygen species redox modulators,suffix,
3826,-retin-,,retinol derivatives,infix,NR
3827,-retin,,retinol derivatives,suffix,NR
3828,-rian,,ryanodine receptor modulators,suffix,
3829,-ribine,,ribofuranil derivatives (pyrazofurin type),suffix,
3830,rifa-,,antibiotics (rifamycin derivatives),prefix,
3831,-rinone,,cardiotonics (amrinone type),suffix,PDE
3832,-rixin,,chemokine (C-X-C motif) receptor 2 (CXCR2) modulators,suffix,GPCR
3833,-rocin,,t-RNA synthetase inhibitors,suffix,
3834,-rogant,,retinoid-related orphan receptor-γt (RORγt) antagonists/inverse agonists,suffix,
3835,-rozole,,aromatase inhibitors (imidazole/triazole derivatives),suffix,
3836,-rsen,,antisense oligonucleotides,suffix,
3837,-rsen,-nersen,antisense oligonucleotides: neurologic indications,suffix,
3838,-rsen,-virsen,antisense oligonucleotides: antivirals,suffix,
3839,-rubicin,,antineoplastic antibiotics (daunorubicin type),suffix,
3840,sal-,,anti-inflammatory agents (salicylic acid derivatives),prefix,
3841,-sal-,,anti-inflammatory agents (salicylic acid derivatives),infix,
3842,-sal,,anti-inflammatory agents (salicylic acid derivatives),suffix,
3843,-sap,,serum amyloid P (SAP) inhibitors,suffix,
3844,-sarm,,selective androgen receptor modulator (non-steroidal),suffix,
3845,-sartan,,angiotensin II receptor antagonists,suffix,GPCR
3846,-selan,,E-selectin antagonists,suffix,
3847,-semide,,diuretics (furosemide type),suffix,
3848,-tiv,-semtiv,troponin activators skeletal muscle,suffix,
3849,-serod,,serotonin receptor antagonists and partial agonists,suffix,GPCR
3850,-serpine,,Rauwolfia alkaloid derivatives,suffix,
3851,-sertib,,serine/threonine kinase inhibitors,suffix,
3852,-setrag,,"serotonin 5-HT receptor agonists, not principally 5-HT2",suffix,GPCR
3853,-setron,,serotonin 5-HT3 receptor antagonists,suffix,ion channel
3854,-siban,,oxytocin antagonists,suffix,GPCR
3855,-sidenib,,mutated isocitrate dehydrogenase (IDH) inhibitors,suffix,
3856,-sidomine,,antianginals (sydnone derivatives),suffix,
3857,-sidone,,antipsychotic with binding activity on sertonin (5-HT2A) and dopamine (D2) receptors,suffix,GPCR
3858,-siptor,,Src homology 2-containing inositol-5' phosphatase 1 (SHIP1) activators,suffix,
3859,-siran-,,small interfering RNA (siRNA),infix,
3860,-sirvat,,silent mating type information regulator (SIRT1) receptor agonists,suffix,
3861,-solmin,,alpha-synuclein oligomerization inhibitors,suffix,
3862,som-,,growth hormone derivatives,prefix,
3863,som-,som--bove,growth hormone derivatives: bovine somatotropin derivatives,combined prefix and suffix,
3864,som-,som--por,growth hormone derivatives: porcine somatotropin derivatives,combined prefix and suffix,
3865,-sonan,,serotonin 5-HT1B receptor inhibitors,suffix,GPCR
3866,-sopasem,,superoxide dismutase (SOD) mimetics,suffix,
3867,-spemin,,spermine and/or homospermine derivatives or analogs,suffix,
3868,-spirone,,anxiolytics (buspirone type),suffix,GPCR
3869,-stat,,enzyme inhibitors,suffix,
3870,-stat-,,enzyme inhibitors,infix,
3871,-stat,-alstat,enzyme inhibitors: 1) kallikrein inhibitors or 2) serine protease inhibitors,suffix,
3872,-stat,-becestat,enzyme inhibitors: beta secretase inhibitors,suffix,
3873,-stat,-castat,enzyme inhibitors: dopamine b-hydrolase (DBH) inhibitors,suffix,
3874,-stat,-clustat,enzyme inhibitors: Cluster of differentiation (CD) inhibitors (alternative: CD73 inhibitors),suffix,
3875,-stat,-costat,enzyme inhibitors: acetyl CoA carboxylase (ACC) inhibitors,suffix,
3876,-stat,-daxistat,enzyme inhibitors: D-amino acid oxidase (DAAO) inhibitors,suffix,
3877,-stat,-dostat,"enzyme inhibitors: indoleamine 2, 3-dioxygenase 1 (IDO1) inhibitors",suffix,
3878,-stat,-drostat,enzyme inhibitors: inhibitors of aldosterone synthase,suffix,
3879,-stat,-dustat,enzyme inhibitors: hypoxia-inducible factor (HIF) prolyl hydroxylase inhibitors,suffix,
3880,-stat,-elestat,enzyme inhibitors: elastase inhibitors,suffix,protease
3881,-stat,-fanstat,enzyme inhibitors: fatty acid synthase inhibitors,suffix,
3882,-stat,-faxstat,enzyme inhibitors: partial fatty acid oxidation (pFOX) inhibitor,suffix,
3883,-stat,-filstat,enzyme inhibitors: anti-fibrotic/cyclophilin inhibitor,suffix,
3884,-stat,-folastat,enzyme inhibitors: folate hydrolose (also called Prostate Specific Membrane Antigen (PSMA) or glutamate carboxypeptidase II) inhibitors,suffix,
3885,-stat,-gacestat,enzyme inhibitors: gamma secretase inhibitors,suffix,
3886,-stat,-glenastat,enzyme inhibitors: glutaminase inhibitor,suffix,
3887,-stat,-glustat,enzyme inhibitors: glucosyltransferase inhibitors,suffix,
3888,-stat,-inostat,enzyme inhibitors: histone deacetylase inhibitors,suffix,
3889,-stat,-lanstat,enzyme inhibitors: lanosterol 14a-demethylase inhibitors,suffix,
3890,-stat,-listat,enzyme inhibitors: gastrointestinal lipase inhibitors,suffix,
3891,-stat,-mastat,enzyme inhibitors: matrix metalloprotease inhibitors,suffix,protease
3892,-stat,-metostat,enzyme inhibitors: histone N-methyl transferase inhibitors,suffix,
3893,-stat,-(a)mostat,enzyme inhibitors: proteolytic enzyme inhibitors,suffix,protease
3894,-stat,-parstat,enzyme inhibitors: heparin derivatives,suffix,
3895,-stat,-perstat,enzyme inhibitors: myeloperoxidase inhibitors,suffix,
3896,-stat,-polstat,enzyme inhibitors: DNA polymerase,suffix,
3897,-stat,-quistat,enzyme inhibitors: squalene synthase inhibitors,suffix,
3899,-stat,-restat,enzyme inhibitors: aldose-reductase inhibitors,suffix,
3900,-stat,-sonstat,enzyme inhibitors: s-nitrosoglutathione reductase (GSNOR) inhibitors,suffix,
3902,-stat,-sumstat,enzyme inhibitors: small ubiquitin-like modifier inhibitor,suffix,
3903,-stat,-telstat,enzyme inhibitors: telomerase inhibitors,suffix,
3904,-stat,-tiostat,enzyme inhibitors: glutathione-s- transferase inhibitors,suffix,
3905,-stat,-tristat,enzyme inhibitors: tryptophan hydroxylase inhibitors,suffix,
3906,-stat,-unistat,enzyme inhibitors: nitric oxide synthase inhibitors,suffix,
3907,-stat,-urestat,enzyme inhibitors: urease inhibitors,suffix,
3908,-stat,-xestat,enzyme inhibitors: autotaxin inhibitors,suffix,
3909,-stat,-xostat,enzyme inhibitors: xanthine oxidase/dehydrogenase inhibitors,suffix,
3949,-ster-,,"steroids (androgens, anabolics)",infix,NR
3950,-steride,,testosterone reductase inhibitors,suffix,NR
3951,-stigmine,,cholinesterase inhibitors (physostigmine type),suffix,
3952,-stim,,colony-stimulating factors,suffix,
3953,-stim,-distim,colony-stimulating factors: conjugates of two different types of colony-stimulating factors,suffix,
3954,-stim,-gramostim,colony-stimulating factors: granulocyte macrophage colony-stimulating factors (GM-CSF),suffix,
3955,-stim,-grastim,colony-stimulating factors: granulocyte colony-stimulating factors (G-CSF),suffix,
3956,-stim,-mostim,colony-stimulating factors: macrophage colony-stimulating factors (M-CSF),suffix,
3957,-stim,-plestim,colony-stimulating factors: interleukin 3 deriviatives; pleiotropic colony-stimulating factors,suffix,
3958,-stinel,,"N-methyl-D-asparate (NMDA) receptor antagonist/agonists, glycine recognition site",suffix,ion channel
3959,-sulam,,"antineoplastics, apoptosis inducing sulfonamide",suffix,
3960,sulfa-,,antimicrobials (sulfonamides derivatives),prefix,
3961,-sulfan,,"antineoplastics, alkylating agents (methane sulfonate derivatives)",suffix,
3962,-sulind,,"antineoplastics, pro-apoptotic cGMP phosphodiesterase inhibitors, sulindac metabolites",suffix,
3963,-pride,,sulpride derivatives and analogs,suffix,GPCR
3964,-tansine,,maytansinoid derivatives,suffix,
3965,-tant,,tachykinin (neurokinin) receptor antagonists,suffix,
3966,-tant,-dutant,tachykinin (neurokinin) receptor antagonists: NK2 receptor antagonists,suffix,GPCR
3967,-tant,-nertant,tachykinin (neurokinin) receptor antagonists: neurotensin receptor antagonists,suffix,
3968,-tant,-netant,tachykinin (neurokinin) receptor antagonists: NK3 receptor antagonists,suffix,GPCR
3969,-tant,-pitant,tachykinin (neurokinin) receptor antagonists: NK1 receptor antagonists,suffix,GPCR
3970,-tapide,,microsomal triglyceride transfer protein (MTP) inhibitors,suffix,
3971,-taront,,trace amine associated receptor (TAAR) agonists,suffix,
3972,-taxel,,"antineoplastics, taxane derivatives",suffix,
3973,-tecan,,antineoplastics (camptothecin derivatives),suffix,
3974,-tecarin,,antineoplastics (rebeccamycin derivatives),suffix,
3975,-tepa,,antineoplastics (thiotepa derivatives),suffix,
3976,-terkib,,extracellular signal regulated kinase (ERK) types 1 and 2 inhibitors (formerly-xertinib),suffix,
3977,-terol,,bronchodilators (phenethylamine derivatives),suffix,GPCR
3978,-terone,,antiandrogens,suffix,
3979,-terone,-teronel,antiandrogens: non-steroid antiandrogens,suffix,
3980,-tesind,,thymidylate synthase inhibitors (benzindole derivatives),suffix,
3981,-thiazide,,diuretics (thiazide derivatives),suffix,
3982,-tiapine,,antipsychotics (dibenzothiazepine derivatives),suffix,GPCR
3983,-tiazem,,calcium channel blockers (diltiazem type),suffix,ion channel
3984,-tibant,,antiasthmatics (bradykinin antagonists),suffix,GPCR
3985,-tide,,peptides,suffix,
3986,-tide,-actide,peptides: synthetic corticotropins,suffix,GPCR
3987,-tide,-ciclatide,peptides: cyclic peptides,suffix,
3988,-tide,-clotide,peptides: gastrointestinal functions; normalizing agent,suffix,
3989,-tide,-dutide,peptides: oxyntomodulin analogs,suffix,
3990,-tide,-enatide,peptides: exendin-4-derivatives,suffix,
3991,-tide,-esatide,peptides: erythropoiesis stimulating agents and/or erythropoietin mimetic peptides,suffix,
3992,-tide,-fibatide,peptides: platelet aggregation inhibitor (GPIIb/IIIa receptor antagonist),suffix,
3993,-tide,-gaptide,peptides: gap junction protein channel modulators,suffix,
3994,-tide,-glutide,peptides: glucagon-like peptide (GLP) analogs,suffix,GPCR
3995,-tide,-lintide,peptides: amylin derivatives or mimics,suffix,
3996,-tide,-melanotide,peptides: melanocortin receptor agonists,suffix,
3997,-tide,-murtide,peptides: peptides with muranic acid present,suffix,
3998,-tide,-netide,peptides: neuropeptide Y (NPY) receptors and analogues,suffix,
3999,-tide,-nitide,peptides: angiogenesis related peptides,suffix,
4000,-tide,-paratide,peptides: parathyroid hormone related peptide,suffix,
4001,-tide,-potide,peptides: peptides with prostate cancer indications,suffix,
4002,-tide,-pultide,peptides: peptides used as pulmonary surfactants,suffix,
4003,-tide,-ramtide,peptides: recruiting antibody molecule,suffix,
4004,-tide,-reotide,peptides: inhibition of growth hormone release,suffix,
4005,-tide,-ritide,peptides: atrial natriuretic type substances,suffix,
4006,-tide,-sortide,"peptides: targets the Vps10p sorting receptor family (e.g., sortilin)",suffix,
4007,-tide,-virtide,peptides: antiviral peptides,suffix,
4008,-tide,-votide,peptides: (prostate-specific membrane antigen) PSMA binding peptide,suffix,
4009,-tide,-zotide,peptides: zonulin antagonists,suffix,
4010,-tidine,,H2-receptor antagonists (cimetidine type),suffix,GPCR
4011,-tinib,,tyrosine kinase inhibitors,suffix,kinase
4012,-tinib,-brutinib,tyrosine kinase inhibitors: tyrosine kinase inhibitors Bruton's (Btk) inhibitors,suffix,kinase
4013,-tinib,-citinib,tyrosine kinase inhibitors: tyrosine kinase inhibitors; janus kinase inhibitors,suffix,
4014,-tinib,-ertinib,tyrosine kinase inhibitors: epidermal growth factor receptor (EGFR) inhibitors,suffix,
4015,-tinib,-metinib,tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors,suffix,kinase
4016,-tinib,-trectinib,tyrosine kinase inhibitors: tropomyosin receptor kinase (TRK) inhibitors,suffix,
4017,-tirom-,,"antihyperlipidemic, thyromimetic derivatives",infix,
4018,-tirotide,,neuropeptide Y (NPY) inhibitors,suffix,
4019,-tocin,,oxytocin derivatives,suffix,GPCR
4020,-toclax,,bcl-2 (B-cell lymphoma 2) inhibitors,suffix,
4021,-toin,,antiepileptics (hydantoin derivatives),suffix,
4022,-toran,,toll-like receptor antagonists,suffix,
4023,-traline,,selective serotonin reuptake inhibitors (SSRI),suffix,
4024,-treg-,,cellular therapy T regulatory cells,infix,
4025,-tremon,,transient receptor potential cation cannel subfamily M member 8 (TRPM8) agonists [also known as the cold and menthol receptor 1 (CMR1)],suffix,
4026,-trep,,transient receptor potential antagonists,suffix,
4027,-trexate,,antimetabolites (folic acid derivatives),suffix,
4028,-trexed,,antineoplastic thymidylate synthetase inhibitors,suffix,
4029,-tricin,,antibiotics (polyene derivatives),suffix,
4030,-trigine,,"sodium channel blockers, signal transduction modulators",suffix,
4031,-tril,,endopeptidase inhibitors,suffix,protease
4032,-trilat,,endopeptidase inhibitors,suffix,protease
4033,-tril,-lutril,endopeptidase inhibitors: neutral endopeptidase inhibitors possessing additional endothelin converting enzyme inhibitory activity,suffix,
4034,-tril,-patril,endopeptidase inhibitors: ACE (angiotensin-1 converting enzyme) and NEP (neutral endopeptidase) inhibitors,suffix,
4038,-trilat,-patrilat,endopeptidase inhibitors: ACE (angiotensin-1 converting enzyme) and NEP (neutral endopeptidase) inhibitors,suffix,
4039,-triptan,,antimigraine agents (5-HT1 receptor agonists); sumatriptan derivatives,suffix,GPCR
4040,-triptyline,,"antidepressants (dibenzol[a,d]cycloheptane derivatives)",suffix,
4041,-troban,,antithrombotics (thromboxane A2 receptor antagonists),suffix,GPCR
4042,-troline,,antipsychotics (dopamine D2 antagonists),suffix,GPCR
4043,-trombopag,,thrombopoetin agonists,suffix,
4044,-trop-,,atropine derivatives,infix,GPCR
4045,-trop,,atropine derivatives,suffix,GPCR
4046,trop-,,atropine derivatives,prefix,GPCR
4047,-uracil,,uracil derivatives used as thyroid antagonists and as antineoplastics,suffix,
4048,-uridine,,antivirals; antineoplastics (uridine derivatives),suffix,
4049,-vancin,,vancomycin-related compounds,suffix,
4050,-vaptan,,vasopressin receptor antagonists,suffix,GPCR
4051,-vatrep,,vanilloid 1 receptor antagonists,suffix,
4052,-verine,,spasmolytic agents (papaverine type),suffix,
4053,vin-,,vinca alkaloids,prefix,
4054,-vin-,,vinca alkaloids,infix,
4055,vir-,,antivirals,prefix,
4056,-vir-,,antivirals,infix,
4057,-vir,,antivirals,suffix,
4096,-vir-,-virenz,antivirals: non-nucleoside reverse transcriptase inhibitors; benzoxazinone derivatives,suffix,
4097,-vir-,-virimat,"antivirals: antiviral, disrupts viral maturation",suffix,
4098,-vir-,-virine,"antivirals: non-nucleoside reverse transcriptase inhibitors, not benzoxazinone derivatives",suffix,
4100,-vir,-amivir,antivirals: neuraminidase inhibitors,suffix,
4101,-vir,-asvir,antivirals: nonstructural protein 5A (NS5A) inhibitors,suffix,
4102,-vir,-atovir,antivirals: respiratory syncytial virus (RSV) fusion inhibitors,suffix,
4103,-vir,-buvir,antivirals: RNA polymerase (NS5B) inhibitors,suffix,
4104,-vir,-capavir,antivirals: viral capsid inhibitors,suffix,
4105,-vir,-cavir,antivirals: carbocyclic nucleosides,suffix,
4106,-vir,-corvir,antivirals: inhibitor of functional assembly of viral core proteins,suffix,
4107,-vir,-cyclovir,antivirals: antivirals (acyclovir type),suffix,
4108,-vir,-ciclovir,antivirals: antivirals (acyclovir type),suffix,
4109,-vir,-desivir,antivirals: adenosine analogs acting as RNA polymerase inhibitors,suffix,
4110,-vir,-gosivir,antivirals: glucosidase inhibitors,suffix,
4111,-vir,-navir,antivirals: HIV protease inhibitors (saquinavir type),suffix,protease
4112,-vir,-piravir,"antivirals: treatments of SARS-CoV-2 infection, inhibiting viral RNA replication",suffix,
4113,-vir,-previr,antivirals: serine protease inhibitors,suffix,protease
4114,-vir,-sporivir,antivirals: cyclosporine derivatives,suffix,
4115,-vir,-tegravir,antivirals: integrase inhibitors,suffix,
4116,-vir,-trelvir,antivirals: inhibitor of COVID 3CL protease,suffix,
4121,-viroc,,"antivirals, chemokine receptor (CCR) antagonists",suffix,GPCR
4122,-viroc,-criviroc,"antivirals, chemokine receptor (CCR) antagonists: immunomodulators",suffix,
4123,-vivint,,WNT (wingless-type mouse mammary tumor virus) pathway inhibitors,suffix,
4124,-vudine,,antineoplastics; antivirals (zidovudine group) (exception: edoxudine),suffix,
4125,-xaban,,"antithrombotics, blood coagulation factor XA inhibitors",suffix,protease
4126,-xanox,,antiallergic respiratory tract drugs (xanoxic acid derivatives),suffix,
4127,-xetan,,chelating agents,suffix,
4128,-xian,,coagulation factor XIa inhibitors,suffix,
4129,-zolamide,,carbonic anhydrase inhibitors,suffix,
4130,-zolid,,oxazolidinone antibacterials,suffix,
4131,-zomib,,proteozome inhibitors,suffix,
4132,-zotan,,5-HT1A receptor agonists/antagonists acting primarily as neuroprotectors,suffix,GPCR
4133,-peg-,,"PEGylated compounds, covalent attachment of macrogol (polyethylene glycol) polymer",infix,
4134,stat-,,enzyme inhibitors,prefix,
