ap_id,activity_id,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments,result_flag
2918,17126561,ACTIVITY_TEST,,,,HGB (Hemoglobin),ACTIVITY_TEST,,,,HGB (Hemoglobin),,0
2919,17126561,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2920,17126561,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2921,17126561,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2922,17126561,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2923,17126561,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2924,17126561,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2925,17126561,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2926,17126562,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2927,17126562,ACTIVITY_TEST,,,,HCT (Hematocrit),ACTIVITY_TEST,,,,HCT (Hematocrit),,0
2928,17126562,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2929,17126562,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2930,17126562,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2931,17126562,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2932,17126562,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2933,17126562,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2934,17126562,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2935,17126563,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2936,17126563,ACTIVITY_TEST,,,,MCV (Ery. Mean Corpuscular Volume),ACTIVITY_TEST,,,,MCV (Ery. Mean Corpuscular Volume),,0
2937,17126563,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2938,17126563,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2939,17126563,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2940,17126563,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2941,17126563,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2942,17126563,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2943,17126563,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2944,17126564,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2945,17126564,ACTIVITY_TEST,,,,MCH (Ery. Mean Corpuscular Hemoglobin),ACTIVITY_TEST,,,,MCH (Ery. Mean Corpuscular Hemoglobin),,0
2946,17126564,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2947,17126564,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2948,17126564,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2949,17126564,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2950,17126564,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2951,17126564,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2952,17126564,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2953,17126565,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2954,17126565,ACTIVITY_TEST,,,,MCHC (Ery. Mean Corpuscular HGB Concentration),ACTIVITY_TEST,,,,MCHC (Ery. Mean Corpuscular HGB Concentration),,0
2955,17126565,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2956,17126565,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2957,17126565,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2958,17126565,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2959,17126565,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2960,17126565,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2961,17126565,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2962,17126566,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2963,17126566,ACTIVITY_TEST,,,,RETIRBC (Reticulocytes/Erythrocytes),ACTIVITY_TEST,,,,RETIRBC (Reticulocytes/Erythrocytes),,0
2964,17126566,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2965,17126566,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2966,17126566,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2967,17126566,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2968,17126566,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2969,17126566,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2970,17126566,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2971,17126567,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2972,17126567,ACTIVITY_TEST,,,,PLAT (Platelets),ACTIVITY_TEST,,,,PLAT (Platelets),,0
2973,17126567,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2974,17126567,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2975,17126567,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2976,17126567,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2977,17126567,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2978,17126567,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2979,17126567,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2980,17126568,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2981,17126568,ACTIVITY_TEST,,,,WBC (Leukocytes),ACTIVITY_TEST,,,,WBC (Leukocytes),,0
2982,17126568,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2983,17126568,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2984,17126568,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2985,17126568,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2986,17126568,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2987,17126568,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2988,17126568,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2989,17126569,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2990,17126569,ACTIVITY_TEST,,,,NEUTLE (Neutrophils/Leukocytes),ACTIVITY_TEST,,,,NEUTLE (Neutrophils/Leukocytes),,0
2991,17126569,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
2992,17126569,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
2993,17126569,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
2994,17126569,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
2995,17126569,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
2996,17126569,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
2997,17126569,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
2998,17126570,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
2999,17126570,ACTIVITY_TEST,,,,EOSLE (Eosinophils/Leukocytes),ACTIVITY_TEST,,,,EOSLE (Eosinophils/Leukocytes),,0
3000,17126570,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3001,17126570,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3002,17126570,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3003,17126570,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
3004,17126570,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
3005,17126570,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
3006,17126570,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3007,17126571,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3008,17126571,ACTIVITY_TEST,,,,BASOLE (Basophils/Leukocytes),ACTIVITY_TEST,,,,BASOLE (Basophils/Leukocytes),,0
3009,17126571,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3010,17126571,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3011,17126571,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3012,17126571,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
3013,17126571,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
3014,17126571,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
3015,17126571,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3016,17126572,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3017,17126572,ACTIVITY_TEST,,,,MONOLE (Monocytes/Leukocytes),ACTIVITY_TEST,,,,MONOLE (Monocytes/Leukocytes),,0
3018,17126572,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3019,17126572,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3020,17126572,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3021,17126572,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
3022,17126572,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
3023,17126572,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
3024,17126572,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3025,17126573,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3026,17126573,ACTIVITY_TEST,,,,LYMLE (Lymphocytes/Leukocytes),ACTIVITY_TEST,,,,LYMLE (Lymphocytes/Leukocytes),,0
3027,17126573,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3028,17126573,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3029,17126573,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3030,17126573,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
3031,17126573,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
3032,17126573,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
3033,17126573,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3034,17126574,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3035,17126574,ACTIVITY_TEST,,,,PT (Prothrombin Time),ACTIVITY_TEST,,,,PT (Prothrombin Time),,0
3036,17126574,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3037,17126574,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3038,17126574,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3039,17126574,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
3040,17126574,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
3041,17126574,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
3042,17126574,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3043,17126575,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3044,17126575,ACTIVITY_TEST,,,,APTT (Activated Partial Thromboplastin Time),ACTIVITY_TEST,,,,APTT (Activated Partial Thromboplastin Time),,0
3045,17126575,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3046,17126575,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3047,17126575,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3048,17126575,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
3049,17126575,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
3050,17126575,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
3051,17126575,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3052,17126576,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3053,17126576,ACTIVITY_TEST,,,,FIBRINO (Fibrinogen),ACTIVITY_TEST,,,,FIBRINO (Fibrinogen),,0
3054,17126576,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3055,17126576,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3056,17126576,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3057,17126576,DOSE,=,0.0,mg/kg,,DOSE,=,0.0,mg.kg-1,,,0
3058,17126576,DOSE_LEVEL,,,,Control,DOSE_LEVEL,,,,Control,,0
3059,17126576,TIME,=,28.0,day,,TIME,=,672.0,hr,,,0
3060,17126576,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3061,17126577,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3062,17126577,ACTIVITY_TEST,,,,RBC (Erythrocytes),ACTIVITY_TEST,,,,RBC (Erythrocytes),,0
3063,17126577,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3064,17126577,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3065,17126577,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3066,17126577,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3067,17126577,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3068,17126577,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3069,17126577,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3070,17126578,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3071,17126578,ACTIVITY_TEST,,,,HGB (Hemoglobin),ACTIVITY_TEST,,,,HGB (Hemoglobin),,0
3072,17126578,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3073,17126578,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3074,17126578,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3075,17126578,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3076,17126578,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3077,17126578,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3078,17126578,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3079,17126579,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3080,17126579,ACTIVITY_TEST,,,,HCT (Hematocrit),ACTIVITY_TEST,,,,HCT (Hematocrit),,0
3081,17126579,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3082,17126579,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3083,17126579,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3084,17126579,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3085,17126579,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3086,17126579,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3087,17126579,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3088,17126580,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3089,17126580,ACTIVITY_TEST,,,,MCV (Ery. Mean Corpuscular Volume),ACTIVITY_TEST,,,,MCV (Ery. Mean Corpuscular Volume),,0
3090,17126580,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3091,17126580,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3092,17126580,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3093,17126580,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3094,17126580,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3095,17126580,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3096,17126580,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3097,17126581,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3098,17126581,ACTIVITY_TEST,,,,MCH (Ery. Mean Corpuscular Hemoglobin),ACTIVITY_TEST,,,,MCH (Ery. Mean Corpuscular Hemoglobin),,0
3099,17126581,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3100,17126581,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3101,17126581,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3102,17126581,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3103,17126581,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3104,17126581,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3105,17126581,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3106,17126582,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3107,17126582,ACTIVITY_TEST,,,,MCHC (Ery. Mean Corpuscular HGB Concentration),ACTIVITY_TEST,,,,MCHC (Ery. Mean Corpuscular HGB Concentration),,0
3108,17126582,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3109,17126582,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3110,17126582,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3111,17126582,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3112,17126582,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3113,17126582,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3114,17126582,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3115,17126583,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3116,17126583,ACTIVITY_TEST,,,,RETIRBC (Reticulocytes/Erythrocytes),ACTIVITY_TEST,,,,RETIRBC (Reticulocytes/Erythrocytes),,0
3117,17126583,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3118,17126583,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3119,17126583,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3120,17126583,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3121,17126583,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3122,17126583,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3123,17126583,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3124,17126584,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3125,17126584,ACTIVITY_TEST,,,,PLAT (Platelets),ACTIVITY_TEST,,,,PLAT (Platelets),,0
3126,17126584,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3127,17126584,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3128,17126584,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3129,17126584,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3130,17126584,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3131,17126584,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3132,17126584,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3133,17126585,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3134,17126585,ACTIVITY_TEST,,,,WBC (Leukocytes),ACTIVITY_TEST,,,,WBC (Leukocytes),,0
3135,17126585,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3136,17126585,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3137,17126585,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3138,17126585,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3139,17126585,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3140,17126585,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3141,17126585,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3142,17126586,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3143,17126586,ACTIVITY_TEST,,,,NEUTLE (Neutrophils/Leukocytes),ACTIVITY_TEST,,,,NEUTLE (Neutrophils/Leukocytes),,0
3144,17126586,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3145,17126586,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3146,17126586,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3147,17126586,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3148,17126586,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3149,17126586,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3150,17126586,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3151,17126587,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3152,17126587,ACTIVITY_TEST,,,,EOSLE (Eosinophils/Leukocytes),ACTIVITY_TEST,,,,EOSLE (Eosinophils/Leukocytes),,0
3153,17126587,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3154,17126587,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3155,17126587,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3156,17126587,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3157,17126587,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3158,17126587,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3159,17126587,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3160,17126588,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3161,17126588,ACTIVITY_TEST,,,,BASOLE (Basophils/Leukocytes),ACTIVITY_TEST,,,,BASOLE (Basophils/Leukocytes),,0
3162,17126588,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3163,17126588,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3164,17126588,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3165,17126588,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3166,17126588,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3167,17126588,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3168,17126588,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3169,17126589,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3170,17126589,ACTIVITY_TEST,,,,MONOLE (Monocytes/Leukocytes),ACTIVITY_TEST,,,,MONOLE (Monocytes/Leukocytes),,0
3171,17126589,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3172,17126589,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3173,17126589,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3174,17126589,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3175,17126589,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3176,17126589,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3177,17126589,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3178,17126590,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3179,17126590,ACTIVITY_TEST,,,,LYMLE (Lymphocytes/Leukocytes),ACTIVITY_TEST,,,,LYMLE (Lymphocytes/Leukocytes),,0
3180,17126590,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3181,17126590,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3182,17126590,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3183,17126590,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3184,17126590,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3185,17126590,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3186,17126590,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3187,17126591,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3188,17126591,ACTIVITY_TEST,,,,PT (Prothrombin Time),ACTIVITY_TEST,,,,PT (Prothrombin Time),,0
3189,17126591,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3190,17126591,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3191,17126591,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3192,17126591,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3193,17126591,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3194,17126591,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3195,17126591,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3196,17126592,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3197,17126592,ACTIVITY_TEST,,,,APTT (Activated Partial Thromboplastin Time),ACTIVITY_TEST,,,,APTT (Activated Partial Thromboplastin Time),,0
3198,17126592,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3199,17126592,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3200,17126592,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3201,17126592,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3202,17126592,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3203,17126592,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3204,17126592,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3205,17126593,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3206,17126593,ACTIVITY_TEST,,,,FIBRINO (Fibrinogen),ACTIVITY_TEST,,,,FIBRINO (Fibrinogen),,0
3207,17126593,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3208,17126593,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3209,17126593,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3210,17126593,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
3211,17126593,DOSE_LEVEL,,,,Low,DOSE_LEVEL,,,,Low,,0
3212,17126593,TIME,=,3.0,day,,TIME,=,72.0,hr,,,0
3213,17126593,N_ANIMALS,=,5.0,,,N_ANIMALS,=,5.0,,,,0
3214,17126594,DATASET,,,,Hematology,DATASET,,,,Hematology,,0
3215,17126594,ACTIVITY_TEST,,,,RBC (Erythrocytes),ACTIVITY_TEST,,,,RBC (Erythrocytes),,0
3216,17126594,TISSUE,,,,Blood,TISSUE,,,,Blood,,0
3217,17126594,ROUTE,,,,Gavage,ROUTE,,,,Gavage,,0
3218,17126594,SRC_ACTIVITY_ID,=,6.0,,,SRC_ACTIVITY_ID,=,6.0,,,,0
3219,17126594,DOSE,=,300.0,mg/kg,,DOSE,=,300.0,mg.kg-1,,,0
