activity_id,bei,sei,le,lle
43064,9.77,5.06,0.18,-0.72
43065,18.95,5.5,0.38,7.37
43066,22.08,6.41,0.44,8.56
43067,16.25,4.72,0.32,6.34
43073,13.02,25.48,0.26,-0.79
43074,22.8,14.7,0.43,4.0
43075,21.26,22.5,0.41,3.23
43076,23.77,25.17,0.46,4.05
43077,25.7,27.2,0.5,4.68
43078,9.8,5.06,0.19,-0.18
43079,13.68,7.06,0.26,2.38
43080,8.63,3.0,0.16,3.31
43082,7.21,2.01,0.14,4.16
43088,16.09,7.82,0.3,3.37
43091,19.69,11.14,0.38,3.2
43093,15.76,8.91,0.3,1.7
43097,19.41,9.27,0.36,3.94
43098,13.37,6.38,0.25,0.94
43099,16.6,7.93,0.3,2.54
43108,21.71,13.81,0.41,4.32
43109,14.47,9.21,0.27,1.22
43110,17.51,11.14,0.33,2.52
43116,17.74,7.92,0.35,5.3
43117,13.6,6.08,0.27,3.53
43120,15.17,7.11,0.28,2.86
43121,13.18,3.23,0.25,8.02
43126,15.0,4.04,0.28,7.58
43127,17.35,4.67,0.33,8.88
43128,16.48,4.44,0.31,8.39
43130,19.93,16.6,0.35,1.63
43145,12.08,9.28,0.23,0.86
43147,17.3,9.72,0.31,0.82
43153,14.33,8.05,0.26,-0.28
43154,16.79,14.29,0.32,1.38
43155,17.37,21.69,0.32,0.87
43160,8.64,2.31,0.17,10.67
43161,7.6,2.03,0.15,9.63
43162,8.59,,,
43163,8.88,,,
43165,6.64,1.76,0.13,9.07
43167,32.84,12.53,0.67,7.34
43168,16.35,7.57,0.31,3.48
43171,19.7,8.61,0.36,4.43
43174,18.46,6.71,0.34,4.8
43184,25.29,36.8,0.49,3.38
43210,13.89,7.32,0.27,2.82
43214,21.16,6.11,0.42,7.11
43226,18.97,14.66,0.35,1.17
43228,17.26,10.35,0.32,5.03
43237,26.41,34.29,0.52,4.28
43239,11.49,4.5,0.22,3.98
43248,18.7,6.6,0.35,4.8
43249,18.63,6.58,0.34,4.77
43252,23.15,8.69,0.46,3.26
43253,28.74,10.79,0.57,4.8
43258,22.42,9.85,0.52,3.76
43259,22.73,9.98,0.52,3.86
43262,19.43,6.13,0.36,4.74
43263,19.1,6.02,0.36,4.62
43264,20.42,6.44,0.38,5.09
43300,14.97,14.46,0.35,0.42
43310,49.35,8.97,0.94,8.12
43311,47.83,8.7,0.92,7.87
43314,25.19,36.81,0.46,5.8
43315,16.9,24.7,0.31,2.78
43341,11.9,54.52,0.28,-1.25
43342,10.64,48.74,0.25,-1.97
43344,17.07,7.2,0.34,3.99
43345,16.99,7.16,0.34,3.95
43347,20.9,9.36,0.38,4.23
43349,13.43,52.59,0.27,-1.01
43350,12.7,49.75,0.26,-1.37
43351,13.22,51.78,0.27,-1.11
43354,23.21,6.78,0.48,8.16
43355,15.9,6.62,0.33,6.03
43356,16.36,5.9,0.32,6.74
43364,17.13,9.31,0.34,4.27
43365,14.44,26.04,0.26,-0.14
43367,12.95,23.36,0.23,-0.77
43372,28.35,55.54,0.52,3.26
43373,22.63,44.33,0.42,1.49
43377,16.13,12.33,0.31,0.89
43397,21.24,7.64,0.39,2.53
43400,13.15,2.12,0.31,9.0
43404,14.29,5.71,0.27,3.61
43405,13.38,5.34,0.26,3.18
43406,10.27,4.1,0.2,1.74
43456,6.76,,,
43458,13.08,12.59,0.28,-0.26
43459,12.05,11.59,0.26,-0.78
43462,20.5,8.18,0.41,5.52
43490,5.59,,,
43491,7.07,,,
43492,7.01,,,
43493,8.26,,,
43494,6.76,,,
43501,18.48,8.51,0.35,2.91
43504,13.7,6.31,0.26,1.51
43505,25.16,24.89,0.46,4.51
43506,17.3,17.12,0.32,1.97
43529,19.92,16.17,0.39,2.12
43541,15.03,20.88,0.32,0.6
43544,20.09,4.15,0.38,6.64
43546,12.41,2.56,0.23,3.69
43555,27.28,9.49,0.54,8.09
43556,24.82,8.64,0.49,7.34
43557,21.34,7.43,0.42,6.28
43558,27.02,9.4,0.53,8.01
43559,25.94,15.09,0.55,4.85
43561,23.59,13.72,0.5,4.15
43562,16.46,9.1,0.34,3.08
43570,12.63,8.89,0.27,1.18
43573,15.82,9.17,0.32,3.52
43578,24.93,11.42,0.45,3.99
43661,15.93,4.55,0.32,3.49
43680,17.53,4.63,0.33,7.33
43681,13.85,3.66,0.26,5.8
43683,23.17,7.11,0.44,8.45
43684,17.92,5.5,0.34,6.43
43696,16.84,35.97,0.32,1.33
43697,16.39,35.0,0.31,1.14
43724,11.57,6.16,0.22,3.22
43725,11.1,5.91,0.21,2.85
43748,31.78,28.11,0.6,5.67
43751,34.67,30.67,0.66,6.27
43759,14.41,7.59,0.26,3.36
43763,17.79,8.81,0.32,5.42
43767,24.22,18.31,0.44,6.2
43774,40.07,16.1,0.77,4.24
43775,30.0,12.06,0.57,2.69
43776,39.35,15.82,0.75,4.13
43779,25.99,7.49,0.48,5.9
43780,26.31,7.58,0.49,6.01
43781,26.36,7.6,0.49,6.02
43782,29.32,8.45,0.54,6.99
43783,25.8,7.44,0.48,5.84
43785,20.66,12.1,0.39,4.79
43787,17.23,10.09,0.32,3.43
43788,21.12,12.37,0.39,4.97
43789,16.66,9.76,0.31,3.21
43794,16.34,8.34,0.29,2.96
43796,19.53,10.16,0.36,4.23
43797,19.37,10.08,0.35,4.18
43798,20.85,10.85,0.38,4.67
43799,24.28,12.64,0.44,5.82
43800,21.51,11.2,0.39,4.89
43819,27.84,27.09,0.52,5.11
43825,10.2,5.88,0.26,0.78
43826,10.2,5.88,0.26,0.78
43827,12.88,9.35,0.34,1.34
43829,16.17,12.15,0.4,2.01
43830,11.54,8.67,0.28,0.09
43831,14.09,8.25,0.26,2.46
43832,10.35,9.45,0.2,-0.06
43834,14.72,3.47,0.28,3.45
43835,16.3,3.84,0.31,3.94
43836,18.41,4.34,0.35,4.61
43839,15.96,4.42,0.34,2.22
43841,17.53,4.86,0.37,2.68
43851,10.82,5.9,0.2,1.14
43855,10.07,3.17,0.19,4.05
43864,14.07,7.75,0.28,2.6
43870,13.61,7.28,0.27,2.12
43876,16.47,10.18,0.33,2.31
43915,15.61,6.77,0.28,1.02
43990,14.3,6.46,0.26,0.69
43991,10.49,4.74,0.19,-0.84
44041,24.28,14.24,0.44,4.37
44043,23.47,12.77,0.43,4.36
44049,21.24,11.1,0.39,3.35
44065,11.43,5.35,0.21,6.09
44067,11.63,5.44,0.22,6.24
44069,10.33,4.83,0.19,5.24
44135,36.21,15.82,0.66,5.86
44140,11.12,4.66,0.21,6.52
44142,9.82,4.11,0.18,5.62
44144,9.75,4.08,0.18,5.58
44152,21.74,10.42,0.42,4.69
44162,19.58,8.22,0.37,6.06
44164,15.08,6.33,0.28,4.51
44166,18.35,7.7,0.35,5.64
44204,24.33,15.76,0.45,3.22
44209,10.24,2.6,0.21,7.33
44210,15.92,4.05,0.32,10.09
44211,11.57,5.5,0.22,2.82
44219,16.52,12.99,0.31,2.91
44220,24.29,19.1,0.45,5.56
44231,14.99,10.66,0.28,1.4
44232,13.26,4.57,0.26,6.09
44235,10.59,5.54,0.21,3.5
44250,14.64,12.49,0.27,2.99
44251,16.98,14.49,0.32,4.01
44252,20.31,17.33,0.38,5.47
44253,18.28,15.6,0.34,4.58
44255,13.22,4.41,0.25,4.4
44256,12.78,4.26,0.24,4.18
44257,13.32,4.44,0.25,4.46
44258,9.0,4.67,0.17,-1.25
44262,16.34,11.97,0.33,1.28
44263,16.35,11.97,0.33,1.28
44269,20.47,19.55,0.39,1.85
44270,18.92,18.07,0.36,1.16
44271,18.56,17.73,0.35,1.0
44272,12.02,11.48,0.23,-1.91
44273,12.77,12.2,0.24,-1.57
44288,19.14,8.04,0.36,3.53
44294,12.12,4.88,0.23,5.75
44311,19.28,4.94,0.4,4.24
44312,29.42,12.31,0.54,6.5
44313,28.33,37.2,0.78,6.8
44314,26.0,8.01,0.55,2.76
44331,16.08,7.28,0.34,4.97
44332,14.9,6.74,0.32,4.37
44348,18.24,11.69,0.34,4.02
44349,17.47,15.51,0.36,1.11
44350,14.73,7.79,0.27,1.02
44356,11.29,7.3,0.22,1.27
44357,12.21,2.55,0.24,4.75
44365,9.4,5.78,0.18,-0.37
44366,12.48,8.2,0.23,1.37
44367,14.3,9.11,0.26,2.98
44368,12.12,7.98,0.22,1.6
44369,14.75,12.03,0.28,1.85
44370,14.02,11.44,0.27,1.37
44386,21.64,28.92,0.4,2.33
44400,13.25,6.95,0.25,0.87
44416,16.84,12.78,0.33,0.42
44453,36.26,25.62,0.72,4.03
44459,11.09,4.3,0.21,4.44
44467,13.68,5.41,0.26,5.54
44471,15.82,7.23,0.3,1.73
44472,16.84,7.69,0.32,2.12
44473,21.85,9.98,0.42,4.08
44476,16.01,4.83,0.32,2.54
44477,20.94,6.32,0.42,3.97
44482,21.66,8.21,0.42,3.49
44483,26.58,10.08,0.52,5.03
44486,11.42,4.04,0.22,4.44
44487,19.31,5.87,0.36,4.21
44488,21.06,6.4,0.39,4.85
44489,21.09,6.41,0.39,4.86
44496,21.89,23.75,0.48,1.67
44497,16.73,6.44,0.32,4.37
44498,17.62,6.78,0.34,4.77
44500,31.86,22.63,0.6,6.0
44503,23.49,35.65,0.43,4.8
44504,16.38,24.86,0.3,2.11
44511,19.97,30.31,0.37,3.47
44512,20.37,30.91,0.38,3.62
44517,26.12,7.24,0.49,5.58
44548,9.2,2.36,0.18,7.64
44550,26.87,10.13,0.5,5.11
44551,17.12,6.18,0.34,6.46
44565,9.69,3.66,0.19,2.5
44566,9.13,3.45,0.18,2.02
44567,19.66,11.67,0.39,4.64
44571,14.8,11.67,0.26,0.4
44572,21.46,4.68,0.46,7.5
44573,23.31,5.09,0.5,8.14
44574,22.37,4.88,0.48,7.81
44602,21.17,8.01,0.42,5.03
44603,23.49,8.89,0.47,5.88
44604,16.18,7.14,0.3,5.36
44614,15.36,6.21,0.3,4.19
44615,11.47,4.64,0.22,2.36
44616,8.54,3.46,0.17,0.98
44617,16.17,6.26,0.31,4.64
44618,14.12,5.47,0.27,3.72
44619,9.55,3.7,0.18,1.66
44632,25.54,13.17,0.5,2.83
44633,17.83,9.19,0.35,0.72
44635,27.55,6.31,0.59,8.04
44636,17.23,3.95,0.37,5.44
44638,18.97,6.71,0.35,3.17
44651,20.18,9.86,0.42,2.28
44652,19.56,9.56,0.41,2.09
44654,13.88,6.59,0.27,3.6
44655,13.93,6.61,0.27,3.63
44657,15.12,14.76,0.31,0.75
44658,12.66,12.36,0.26,-0.46
44661,20.8,6.59,0.44,5.79
44672,12.23,6.12,0.24,2.2
44673,16.41,8.22,0.32,4.21
44674,17.73,8.88,0.34,4.84
44675,12.93,6.48,0.25,2.53
44677,16.4,5.75,0.33,4.17
44678,22.48,7.88,0.46,6.35
44679,24.77,8.69,0.5,7.16
44680,18.89,6.62,0.38,5.06
44681,16.03,6.27,0.3,5.8
44682,14.94,8.34,0.28,4.68
44683,17.0,8.33,0.32,5.58
44685,23.97,9.4,0.43,2.74
44690,22.38,9.39,0.43,2.56
44695,15.91,8.55,0.29,0.91
44700,14.79,6.5,0.27,2.92
44701,14.89,6.54,0.27,2.97
44702,15.4,6.77,0.28,3.22
44703,14.99,6.58,0.27,3.02
44708,16.63,5.41,0.3,3.31
44709,17.15,5.57,0.31,3.5
44710,17.77,5.78,0.32,3.73
44711,26.17,8.51,0.48,6.88
44717,5.65,,,
44718,5.66,,,
44719,7.38,,,
44720,5.45,,,
44724,22.54,10.61,0.43,5.57
44726,25.18,24.91,0.46,5.04
44727,17.56,17.37,0.32,2.57
44777,15.19,11.47,0.3,0.82
44791,36.99,6.03,0.72,8.11
44792,21.73,3.54,0.43,5.27
44812,15.34,5.76,0.29,3.65
44813,9.89,3.72,0.19,1.37
44814,10.75,4.04,0.21,1.73
44821,8.11,2.83,0.16,1.52
44822,6.41,2.63,0.13,0.13
44831,15.64,8.65,0.3,5.2
44833,12.05,6.86,0.23,3.79
44853,16.97,9.69,0.43,2.17
44880,17.88,6.85,0.36,3.76
44886,27.09,6.98,0.51,4.04
44914,21.17,5.09,0.41,7.95
44915,14.97,3.6,0.29,5.7
44930,31.11,8.23,0.6,4.73
44931,16.35,11.94,0.3,1.15
44937,21.95,9.01,0.46,5.29
44945,19.15,7.9,0.42,6.98
44979,11.83,6.23,0.23,3.94
44980,10.62,5.59,0.2,3.04
45006,16.25,8.68,0.3,4.85
45010,22.5,13.03,0.46,2.13
45012,22.69,13.14,0.46,2.17
45015,16.44,,,
45016,16.95,,,
45017,17.43,,,
45018,20.61,,,
45019,15.87,,,
45036,13.54,9.79,0.37,1.21
45038,18.86,19.71,0.44,2.94
45039,14.93,15.61,0.35,1.34
45041,16.01,9.56,0.3,4.35
45054,16.34,4.47,0.31,3.99
45055,18.3,5.0,0.34,4.69
45056,16.05,4.39,0.3,3.89
45059,15.52,4.72,0.29,3.23
45060,18.09,5.5,0.34,4.08
45061,17.24,5.24,0.32,3.8
45064,22.81,6.8,0.42,5.31
45065,24.46,7.29,0.45,5.85
45066,27.12,8.08,0.5,6.71
45071,15.45,7.77,0.3,0.61
45078,25.89,15.6,0.5,3.38
45079,28.09,16.92,0.54,4.0
45080,10.1,4.53,0.18,-0.29
45082,12.76,5.86,0.23,0.12
45085,12.69,7.4,0.25,2.86
45087,10.25,6.7,0.22,1.31
45089,12.4,7.12,0.25,2.03
45103,13.06,6.62,0.31,1.58
45104,24.24,5.81,0.57,4.44
45105,33.67,8.07,0.79,6.39
45106,31.83,7.63,0.75,6.01
45107,35.09,8.41,0.83,6.68
45108,16.85,10.63,0.34,2.93
45228,24.27,17.61,0.44,3.64
45230,24.71,17.48,0.47,3.83
45277,30.0,15.57,0.54,3.24
45300,33.48,5.72,0.68,10.08
45305,14.66,13.93,0.35,1.27
45314,18.35,15.6,0.33,1.06
45323,10.44,7.28,0.2,-1.71
45325,12.55,3.1,0.24,8.17
45326,10.08,2.49,0.19,6.8
45327,10.25,2.53,0.19,6.89
45328,13.54,3.35,0.26,8.72
45329,20.95,24.84,0.38,3.17
45330,26.0,30.83,0.48,4.65
45331,26.22,31.51,0.49,4.99
45332,35.27,42.38,0.65,7.69
45340,19.85,10.6,0.42,3.75
45348,18.64,6.29,0.41,2.49
45349,21.96,16.46,0.41,3.78
45352,19.47,12.41,0.36,4.41
45357,12.61,6.0,0.24,3.61
45365,16.41,12.18,0.31,1.71
45367,11.11,5.11,0.21,4.04
45373,14.94,16.86,0.29,3.49
45374,17.97,20.27,0.35,4.83
45377,11.47,3.55,0.22,5.04
45378,18.07,6.22,0.34,7.16
45379,18.45,6.35,0.35,7.34
45381,14.73,4.91,0.28,5.7
45382,14.83,4.94,0.28,5.75
45383,17.56,5.85,0.33,7.15
45389,20.43,14.68,0.42,3.12
45390,20.42,14.68,0.42,3.12
45391,20.02,13.31,0.41,3.58
45392,20.01,13.31,0.41,3.58
45393,19.18,10.68,0.42,4.56
45394,19.19,10.69,0.42,4.56
45400,8.86,3.08,0.17,3.98
45406,29.98,14.19,0.54,2.97
45409,16.54,8.92,0.33,5.7
45410,28.16,23.35,0.53,5.95
45412,25.89,4.54,0.49,3.63
45413,22.53,55.56,0.41,2.51
45442,21.25,13.96,0.4,4.11
45443,16.73,10.99,0.32,2.11
45444,18.31,12.03,0.35,2.81
45451,11.78,5.25,0.22,1.47
45452,9.64,4.29,0.18,0.29
45453,11.89,5.3,0.22,1.54
45454,16.18,7.21,0.3,4.05
45455,11.78,5.25,0.22,1.61
45456,13.34,5.94,0.25,2.48
45459,19.81,26.84,0.37,2.28
45460,15.86,21.49,0.3,0.72
45461,15.62,21.17,0.29,0.62
45462,13.82,18.73,0.26,-0.09
45464,22.32,24.02,0.44,2.46
45465,16.33,17.57,0.32,0.57
45466,16.24,17.47,0.32,0.54
45467,14.77,15.89,0.29,0.08
45469,19.57,21.99,0.38,1.48
45470,16.37,18.4,0.32,0.42
45471,16.82,18.91,0.33,0.57
45472,15.19,17.07,0.3,0.04
45481,19.9,5.97,0.39,4.86
45485,11.33,7.54,0.21,0.47
45487,7.29,,,
45488,9.02,,,
45491,19.96,8.45,0.36,4.82
45511,11.7,6.48,0.22,1.0
45512,28.38,,0.56,3.78
45524,14.8,15.02,0.28,2.88
45525,14.91,15.12,0.28,2.92
45526,19.24,19.52,0.36,4.66
45528,35.9,20.1,0.65,4.55
45529,35.89,18.7,0.65,4.9
45530,24.51,14.95,0.43,2.04
45531,29.82,14.55,0.55,4.38
45532,34.33,16.69,0.62,7.12
45533,22.98,12.29,0.41,2.29
45538,22.06,16.34,0.44,3.17
45539,20.91,5.23,0.43,4.11
45541,12.58,4.34,0.24,5.66
45544,21.91,7.07,0.41,5.74
45545,21.37,6.89,0.4,5.55
45546,10.73,4.39,0.2,1.7
45547,10.73,4.39,0.2,1.7
45548,21.43,7.14,0.42,5.08
45549,21.15,7.04,0.41,4.97
45550,19.13,6.37,0.37,4.22
45559,11.86,3.53,0.23,6.05
45565,19.09,6.47,0.36,4.93
45566,18.81,6.38,0.35,4.82
45567,19.82,6.72,0.37,5.23
45568,16.19,5.49,0.3,3.74
45571,16.95,4.66,0.32,3.66
45573,19.18,5.28,0.36,4.31
45574,24.07,6.62,0.45,5.73
45577,19.97,6.28,0.37,4.64
45578,23.07,7.25,0.43,5.78
45579,21.65,6.81,0.4,5.26
45580,20.49,6.44,0.38,4.83
45583,17.95,5.36,0.36,2.3
45587,11.72,5.34,0.23,1.95
45588,15.6,7.11,0.31,4.01
45598,40.27,7.93,0.77,6.77
45599,38.15,7.51,0.73,6.38
45632,22.65,33.68,0.44,4.83
45633,16.88,25.1,0.33,2.69
45643,30.19,30.25,0.57,4.86
45674,19.15,63.52,0.35,1.39
45675,16.04,53.2,0.29,0.1
45677,18.34,5.92,0.34,3.98
45678,18.33,8.37,0.35,4.11
45679,23.19,7.15,0.42,5.76
45680,21.5,6.94,0.4,5.66
45681,23.49,6.46,0.44,5.56
45682,23.11,6.36,0.44,5.45
45684,24.48,3.85,0.48,4.44
45688,17.9,5.33,0.37,8.62
45689,17.38,5.76,0.35,6.41
45690,15.81,6.01,0.32,6.07
45703,29.12,55.59,0.52,2.94
45704,20.9,39.91,0.37,0.46
45707,19.4,4.92,0.51,5.63
45708,24.32,6.17,0.63,7.13
45709,21.04,5.34,0.55,6.13
45710,24.54,8.72,0.45,4.9
45728,5.15,,,
45730,15.83,5.69,0.31,3.99
45731,13.31,4.78,0.26,2.88
45732,12.41,4.46,0.24,2.49
45733,11.6,5.25,0.22,2.92
45734,13.97,6.33,0.27,4.21
45735,8.43,3.82,0.16,1.21
45738,28.79,10.6,0.58,10.5
45739,19.03,7.01,0.38,7.06
45742,28.13,10.35,0.56,10.26
45743,18.75,6.9,0.38,6.96
45746,29.82,10.98,0.6,10.86
45747,19.22,7.08,0.39,7.12
45750,28.92,10.65,0.58,10.54
45751,18.99,6.99,0.38,7.04
45759,24.5,38.43,0.52,4.65
45760,14.99,10.67,0.35,3.59
45761,14.53,10.34,0.34,3.39
45762,14.99,10.67,0.35,3.59
45763,13.17,9.37,0.3,2.79
45764,14.76,10.5,0.34,3.49
45765,13.4,9.53,0.31,2.89
45766,14.08,10.02,0.33,3.19
45767,13.63,9.7,0.32,2.99
45768,12.72,9.05,0.29,2.59
45769,18.85,13.41,0.44,5.29
45770,12.72,9.05,0.29,2.59
45771,12.72,9.05,0.29,2.59
45772,12.26,8.73,0.28,2.39
45773,13.85,9.86,0.32,3.09
45779,16.1,5.34,0.33,4.38
45780,10.22,3.39,0.21,1.89
45794,22.67,34.16,0.44,3.13
45795,19.23,28.98,0.37,1.9
45797,19.19,8.23,0.37,3.71
45798,19.34,8.29,0.37,3.77
45799,18.84,8.08,0.36,3.59
45800,23.16,9.92,0.45,4.95
45801,22.94,9.83,0.45,4.87
45818,15.57,6.51,0.32,3.42
45819,20.01,8.36,0.42,5.31
45820,20.43,8.53,0.42,5.49
45821,15.86,6.63,0.33,3.54
45852,20.91,36.41,0.38,1.86
45853,14.27,24.84,0.26,-0.97
45854,14.79,25.74,0.27,-0.75
45856,13.65,23.77,0.25,-1.24
45859,15.23,26.51,0.28,-0.57
45867,15.25,7.57,0.32,1.11
45872,15.76,8.27,0.34,2.94
45877,24.52,11.85,0.46,4.04
45878,16.33,7.9,0.31,1.88
45879,17.76,8.59,0.34,2.26
45880,18.88,12.53,0.36,4.19
45881,18.39,12.21,0.35,4.02
45883,28.42,22.58,0.55,5.48
45884,20.54,18.25,0.39,3.57
45885,17.78,8.82,0.33,3.74
45886,25.25,24.48,0.52,4.73
45887,25.43,21.32,0.45,4.53
45892,17.32,10.12,0.33,1.86
45896,19.87,10.66,0.53,2.99
45906,20.68,10.03,0.41,3.84
45907,21.85,10.6,0.44,4.18
45908,20.85,10.12,0.42,3.89
45909,16.17,10.96,0.32,1.93
45956,19.61,5.38,0.41,4.13
45957,16.19,4.62,0.32,3.57
46006,21.55,16.93,0.4,4.05
46040,18.38,7.58,0.4,6.66
46046,22.63,6.23,0.48,7.62
46049,23.95,6.59,0.51,8.1
46050,23.06,6.35,0.49,7.78
46053,17.24,4.87,0.34,4.48
46057,13.25,4.85,0.26,1.95
46133,53.5,62.8,1.02,6.46
46134,37.94,44.53,0.73,4.06
46136,11.33,6.21,0.22,2.93
46137,10.41,5.7,0.2,2.23
46156,26.24,14.15,0.49,6.29
46157,12.51,8.6,0.23,0.91
46160,15.88,8.55,0.29,2.39
46161,19.45,10.47,0.36,3.58
46162,15.57,8.38,0.29,2.28
46163,14.03,5.92,0.26,1.97
46164,14.53,7.05,0.27,2.04
46165,18.51,15.61,0.34,4.04
46171,15.79,7.84,0.29,2.51
46173,13.82,6.86,0.25,1.9
46174,14.88,7.39,0.27,2.22
46176,24.4,11.71,0.45,5.93
46177,24.79,11.9,0.46,6.05
46178,24.53,11.78,0.45,5.97
46179,30.1,14.45,0.55,7.69
46180,24.38,11.7,0.45,5.92
46182,22.44,11.75,0.41,5.18
46183,22.47,11.76,0.41,5.19
46184,22.91,11.99,0.42,5.34
46185,27.86,14.59,0.51,7.01
46186,24.58,12.87,0.45,5.9
46217,13.68,11.08,0.36,1.32
46218,12.32,9.98,0.33,0.84
46219,13.79,11.17,0.37,1.36
46223,15.83,12.78,0.31,1.3
46227,15.06,9.13,0.3,1.92
46229,16.01,15.58,0.32,1.29
46231,14.69,7.79,0.27,0.97
46232,12.66,6.72,0.23,0.23
46239,14.39,3.31,0.27,3.39
46240,14.39,3.31,0.27,3.39
46241,13.67,3.15,0.26,3.16
46252,15.79,12.62,0.3,-0.17
46255,21.43,15.7,0.41,2.12
46256,20.88,15.3,0.4,1.92
46257,16.76,12.29,0.32,0.43
46261,16.93,6.26,0.32,5.29
46268,29.5,20.86,0.57,3.63
46275,9.87,4.65,0.19,-0.52
46277,10.84,5.87,0.21,2.18
46279,10.05,6.54,0.2,0.65
46287,30.9,6.8,0.71,8.72
46288,33.24,7.31,0.77,9.27
46289,32.03,7.05,0.74,8.99
46290,32.68,7.19,0.75,9.14
46291,23.36,5.43,0.49,4.84
46292,33.94,7.89,0.71,6.96
46293,37.36,8.68,0.79,7.64
46294,36.78,8.55,0.77,7.53
46354,13.74,4.08,0.26,7.59
46355,14.15,4.2,0.27,7.84
46356,13.13,3.9,0.25,7.22
46357,13.69,4.06,0.26,7.56
46427,14.42,7.03,0.32,1.58
46428,10.41,5.07,0.23,0.02
46431,14.13,6.13,0.26,0.51
46451,17.73,10.09,0.32,2.46
46521,23.0,11.64,0.47,4.92
46524,22.55,11.18,0.43,4.73
46527,27.18,13.48,0.52,6.15
46539,20.45,11.27,0.4,3.65
46541,23.72,14.22,0.46,3.73
46543,7.32,3.6,0.14,-1.47
46545,15.78,5.26,0.3,6.38
46546,10.85,3.62,0.21,4.17
46548,14.25,4.94,0.27,3.81
46549,18.69,6.47,0.36,6.0
46551,34.93,32.99,0.65,3.89
46552,21.71,20.5,0.4,0.84
46553,8.77,6.51,0.17,-4.41
46554,8.72,6.47,0.17,-4.46
46582,11.61,5.44,0.22,0.26
46584,29.85,35.33,0.6,4.56
46585,20.92,24.77,0.42,2.08
46592,19.02,11.87,0.37,4.32
46593,16.57,11.19,0.31,3.23
46594,18.81,12.77,0.35,4.09
46598,10.77,6.05,0.2,1.58
46604,8.25,3.79,0.16,2.21
46605,11.33,4.82,0.21,4.82
46606,10.87,5.18,0.21,4.05
46607,10.86,3.7,0.22,4.75
46608,12.53,4.0,0.25,5.15
46614,13.3,6.99,0.25,0.25
46625,16.47,8.59,0.33,2.47
46626,19.19,10.0,0.38,3.49
46627,15.33,7.99,0.3,2.04
46628,17.74,4.87,0.34,7.25
46629,18.52,5.09,0.36,7.58
46631,13.72,4.23,0.26,7.22
46632,13.95,4.3,0.27,7.35
46633,16.1,4.96,0.31,8.47
46634,17.74,5.59,0.33,5.91
46635,15.82,4.98,0.3,5.09
46643,20.69,7.39,0.38,6.39
46645,15.1,5.39,0.28,4.04
46646,13.57,4.85,0.25,3.4
46650,11.7,4.89,0.22,2.4
46653,18.16,7.13,0.34,4.92
46658,17.09,8.42,0.35,3.11
46659,17.1,8.42,0.35,3.11
46660,17.99,14.46,0.36,2.99
46661,17.99,14.46,0.36,2.99
46668,13.09,6.44,0.25,3.55
46669,14.53,8.68,0.28,3.86
46670,14.35,8.64,0.27,2.28
46694,14.96,6.16,0.29,4.76
46698,23.86,12.17,0.46,3.75
46735,12.97,9.06,0.25,0.1
46744,19.37,12.32,0.37,3.32
46745,16.34,10.39,0.31,2.02
46746,15.64,9.95,0.3,1.72
46756,11.92,4.75,0.22,1.47
46757,9.82,3.92,0.18,0.34
46758,11.3,4.51,0.21,1.14
46761,11.85,3.06,0.22,6.3
46762,24.1,10.46,0.44,3.1
46763,12.99,6.64,0.24,1.31
46769,8.59,5.61,0.17,1.97
46776,16.48,5.36,0.31,3.68
46807,11.58,5.33,0.22,3.67
46808,18.52,15.7,0.37,3.19
46809,15.9,13.48,0.31,1.94
46810,14.95,12.67,0.3,1.49
46811,15.94,13.51,0.32,1.96
46812,17.87,13.92,0.34,4.51
46816,5.98,2.14,0.12,3.35
46826,13.11,7.61,0.25,1.56
46844,14.12,11.61,0.29,-0.86
46845,16.45,12.13,0.31,3.62
46846,18.21,13.43,0.35,4.35
46847,20.3,14.97,0.39,5.22
46849,19.68,18.25,0.39,2.97
46850,13.71,12.72,0.27,0.72
46851,17.14,15.89,0.34,2.01
46853,15.68,10.85,0.3,3.44
46854,18.52,12.81,0.35,4.56
46855,19.17,13.26,0.37,4.81
46857,16.71,13.23,0.3,3.4
46860,13.2,12.51,0.24,0.63
46863,15.89,8.1,0.3,5.89
46871,18.81,30.0,0.39,1.61
46874,17.86,7.36,0.34,4.21
46875,16.48,6.79,0.31,3.64
46876,16.73,7.63,0.31,3.86
46877,14.67,6.69,0.27,2.92
46895,26.73,10.12,0.53,4.07
46896,27.04,10.23,0.54,4.15
46921,23.68,13.92,0.52,2.75
46922,19.79,5.88,0.38,6.99
46923,16.78,4.98,0.32,5.85
46924,22.13,6.57,0.42,7.88
46926,21.56,12.96,0.41,3.23
46927,31.08,34.11,0.58,4.07
46928,11.81,5.3,0.22,0.83
46929,14.05,5.59,0.26,0.57
46930,25.19,10.69,0.49,5.39
46931,21.71,9.21,0.42,4.21
46933,22.23,8.06,0.41,4.74
46934,17.41,16.82,0.35,3.31
46935,13.87,13.39,0.28,1.51
46936,11.28,10.89,0.22,0.19
46939,17.57,7.18,0.35,6.04
46953,21.93,36.19,0.4,3.27
46954,14.1,23.26,0.26,0.23
46955,14.52,23.95,0.27,0.39
46960,29.48,66.5,0.52,3.53
46964,23.65,5.32,0.52,8.07
46965,26.69,6.0,0.58,9.04
46966,24.5,5.51,0.53,8.34
46977,21.13,6.17,0.45,6.38
